TipPercentage,Bill,Tip,Gender,Smoker,Weekday,Time,PartySize
13.7,11.87,1.63,Female,No,Thursday,Day,2
17.7,9.78,1.73,Male,No,Thursday,Day,2
26.6,7.51,2,Male,No,Thursday,Day,2
17.8,14.07,2.5,Male,No,Sunday,Night,2
15.2,13.13,2,Male,No,Sunday,Night,2
15.9,17.26,2.74,Male,No,Sunday,Night,3
8.15,24.55,2,Male,No,Sunday,Night,4
10.1,19.77,2,Male,No,Sunday,Night,4
17.2,29.85,5.14,Female,No,Sunday,Night,5
10.4,48.17,5,Male,No,Sunday,Night,6
15,25,3.75,Female,No,Sunday,Night,4
19.5,13.39,2.61,Female,No,Sunday,Night,2
12.1,16.49,2,Male,No,Sunday,Night,4
16.3,21.5,3.5,Male,No,Sunday,Night,4
19.7,12.66,2.5,Male,No,Sunday,Night,2
12.3,16.21,2,Female,No,Sunday,Night,3
14.5,13.81,2,Male,No,Sunday,Night,2
17.1,17.51,3,Female,Yes,Sunday,Night,2
14.2,24.52,3.48,Male,No,Sunday,Night,3
10.8,20.76,2.24,Male,No,Sunday,Night,2
14.2,31.71,4.5,Male,No,Sunday,Night,4
15.2,10.59,1.61,Female,Yes,Saturday,Night,2
18.8,10.63,2,Female,Yes,Saturday,Night,2
19.7,50.81,10,Male,Yes,Saturday,Night,3
20,15.81,3.16,Male,Yes,Saturday,Night,2
71,7.25,5.15,Male,Yes,Sunday,Night,2
9.98,31.85,3.18,Male,Yes,Sunday,Night,2
23.8,16.82,4,Male,Yes,Sunday,Night,2
9.45,32.9,3.11,Male,Yes,Sunday,Night,2
11.2,17.89,2,Male,Yes,Sunday,Night,2
13.8,14.48,2,Male,Yes,Sunday,Night,2
41.7,9.6,4,Female,Yes,Sunday,Night,2
10.3,34.63,3.55,Male,Yes,Sunday,Night,2
10.6,34.65,3.68,Male,Yes,Sunday,Night,4
24.2,23.33,5.65,Male,Yes,Sunday,Night,2
7.72,45.35,3.5,Male,Yes,Sunday,Night,3
28.1,23.17,6.5,Male,Yes,Sunday,Night,4
7.4,40.55,3,Male,Yes,Sunday,Night,2
24.2,20.69,5,Male,No,Sunday,Night,5
16.7,20.9,3.5,Female,Yes,Sunday,Night,3
6.57,30.46,2,Male,Yes,Sunday,Night,5
19.3,18.15,3.5,Female,Yes,Sunday,Night,3
17.3,23.1,4,Male,Yes,Sunday,Night,3
9.56,15.69,1.5,Male,Yes,Sunday,Night,2
21.2,19.81,4.19,Female,Yes,Thursday,Day,2
9,28.44,2.56,Male,Yes,Thursday,Day,2
13,15.48,2.02,Male,Yes,Thursday,Day,2
24.1,16.58,4,Male,Yes,Thursday,Day,2
19,7.56,1.44,Male,No,Thursday,Day,2
19.3,10.34,2,Male,Yes,Thursday,Day,2
11.6,43.11,5,Female,Yes,Thursday,Day,4
15.4,13,2,Female,Yes,Thursday,Day,2
14.8,13.51,2,Male,Yes,Thursday,Day,2
21.4,18.71,4,Male,Yes,Thursday,Day,3
15.8,12.74,2.01,Female,Yes,Thursday,Day,2
15.4,13,2,Female,Yes,Thursday,Day,2
15.2,16.4,2.5,Female,Yes,Thursday,Day,2
19.5,20.53,4,Male,Yes,Thursday,Day,4
19.6,16.47,3.23,Female,Yes,Thursday,Day,3
12.8,26.59,3.41,Male,Yes,Saturday,Night,3
7.75,38.73,3,Male,Yes,Saturday,Night,4
8.36,24.27,2.03,Male,Yes,Saturday,Night,2
17.5,12.76,2.23,Female,Yes,Saturday,Night,2
6.65,30.06,2,Male,Yes,Saturday,Night,3
19.9,25.89,5.16,Male,Yes,Saturday,Night,4
18.6,48.33,9,Male,No,Saturday,Night,4
18.8,13.27,2.5,Female,Yes,Saturday,Night,2
23.1,28.17,6.5,Female,Yes,Saturday,Night,3
8.53,12.9,1.1,Female,Yes,Saturday,Night,2
10.7,28.15,3,Male,Yes,Saturday,Night,5
12.9,11.59,1.5,Male,Yes,Saturday,Night,2
18.6,7.74,1.44,Male,Yes,Saturday,Night,2
10.3,30.14,3.09,Female,Yes,Saturday,Night,4
18.1,12.16,2.2,Male,Yes,Friday,Day,2
25.9,13.42,3.48,Female,Yes,Friday,Day,2
22.4,8.58,1.92,Male,Yes,Friday,Day,1
18.8,15.98,3,Female,No,Friday,Day,3
11.8,13.42,1.58,Male,Yes,Friday,Day,2
15.4,16.27,2.5,Female,Yes,Friday,Day,2
19.8,10.09,2,Female,Yes,Friday,Day,2
14.7,20.45,3,Male,No,Saturday,Night,4
20.5,13.28,2.72,Male,No,Saturday,Night,2
13,22.12,2.88,Female,Yes,Saturday,Night,2
8.33,24.01,2,Male,Yes,Saturday,Night,4
19.1,15.69,3,Male,Yes,Saturday,Night,3
29.2,11.61,3.39,Male,No,Saturday,Night,2
13.6,10.77,1.47,Male,No,Saturday,Night,2
19.3,15.53,3,Male,Yes,Saturday,Night,2
12.4,10.07,1.25,Male,No,Saturday,Night,2
7.94,12.6,1,Male,Yes,Saturday,Night,2
3.56,32.83,1.17,Male,Yes,Saturday,Night,2
13,35.83,4.67,Female,No,Saturday,Night,3
20.4,29.03,5.92,Male,No,Saturday,Night,3
7.36,27.18,2,Female,Yes,Saturday,Night,2
8.82,22.67,2,Male,Yes,Saturday,Night,2
9.82,17.82,1.75,Male,No,Saturday,Night,2
16,18.78,3,Female,No,Thursday,Night,2
