Year,Team,NextYearsWins,Wins,OffTotYds,OffTotPlays,OffTotYdsperPly,OffTot1stDwns,OffPass1stDwns,OffRush1stDwns,OffTotTurnovers,OffFumblesLost,Off1stDwnsbyPenalty,OffPassComp,OffPassComp1,OffPassYds,OffPassTds,OffPassINTs,OffPassINT,OffPassLongest,OffPassYdsperAtt,OffPassAdjYdsperAtt,OffPassYdsperComp,OffPassYdsperGame,OffPasserRating,OffPassSacksAlwd,OffPassSackYds,OffPassNetYdsperAtt,OffPassAdjNetYdsperAtt,OffPassSack,OffGameWinningDrives,OffRushYds,OffRushTds,OffRushLongest,OffRushYdsperAtt,OffRushYdsperGame,OffFumbles,OffPuntReturns,OffPRYds,OffPRTds,OffPRLongest,OffPRYdsperAtt,OffKickReturns,OffKRYds,OffKRTds,OffKRLongest,OffKRYdsperAtt,OffAllPurposeYds,X119ydFGAtt,X119ydFGMade,X2029ydFGAtt,X2029ydFGMade,X129ydFG,X3039ydFGAtt,X3039ydFGMade,X3039ydFG,X4049ydFGAtt,X4049ydFGMade,X50ydFGAtt,X50ydFGMade,X40ydFG,TotalFGAtt,OffTotFGMade,OffTotFG,OffXPAtt,OffXPMade,OffXP,OffTimesPunted,OffPuntYards,OffLongestPunt,OffTimesHadPuntBlocked,OffYardsPerPunt,FmblTds,DefINTTdsScored,BlockedKickorMissedFGRetTds,TotalTdsScored,Off2ptConvMade,DefSafetiesScored,DefTotYdsAlwd,DefTotPlaysAlwd,DefTotYdsperPlayAlwd,DefTot1stDwnsAlwd,DefPass1stDwnsAlwd,DefRush1stDwnsAlwd,DefTurnoversCreated,DefFumblesRecovered,Def1stDwnsAlwdbyPenalty,DefPassCompAlwd,DefPassAttAlwd,DefPassCompAlwd,DefPassYdsAlwd,DefPassTdsAlwd,DefPassTDAlwd,DefPassINTs,DefPassINT,DefPassYdsperAttAlwd,DefPassAdjYdsperAttAlwd,DefPassYdsperCompAlwd,DefPassYdsperGameAlwd,DefPasserRatingAlwd,DefPassSacks,DefPassSackYds,DefPassNetYdsperAttAlwd,DefPassAdjNetYdsperAttAlwd,DefPassSack,DefRushYdsAlwd,DefRushTdsAlwd,DefRushYdsperAttAlwd,DefRushYdsperGameAlwd,DefPuntReturnsAlwd,DefPRTdsAlwd,DefKickReturnsAlwd,DefKRYdsAlwd,DefKRTdsAlwd,DefKRYdsperAttAlwd,DefTotFGAttAlwd,DefTotFGMadeAlwd,DefTotFGAlwd,DefXPAttAlwd,DefXPMadeAlwd,DefXPAlwd,DefPuntsAlwd,DefPuntYdsAlwd,DefPuntYdsperAttAlwd,Def2ptConvAlwd,OffSafeties,OffRushSuccessRate,HeadCoachDisturbance,QBDisturbance,RBDisturbance,OffRunPassRatio,OffPassPly,OffRunPly,OffYdsPt,DefYdsPt,OffPassDroprate,DefPassDropRate
2012,Arizona,NA,5,42.09,1018,4.1,246,168,58,34,13,20,337,55.4,3005,11,21,3.5,53,5.6,4.4,10,187.8,63.1,58,378,4.5,3.4,8.7,3,1204,10,52,3.4,75.3,25,54,441,0,26,8.2,40,930,0,65,23.3,5958,0,0,6,6,1,10,9,0.9,10,8,2,2,0.83333333,28,25,0.893,25,25,1,112,5209,70,0,46.5,1,2,1,25,0,0,5405,1041,5.2,288,160,107,33,11,21,270,497,54.3,3213,20,4,22,4.4,6.9,5.7,12.7,200.8,71.2,38,228,6,4.9,7.1,2192,12,4.3,137,48,0,32,846,0,26.4,35,25,0.714,38,38,1,93,0,0,0,1,0.35534591,Yes,Yes,?,0.52852853,0.65422397,0.34577603,16.836,15.140056,4.29752066,5.76131687
2002,Atlanta,5,9,55.35,1038,5.3,316,163,123,27,15,30,268,55.9,3167,18,12,2.5,74,7.1,6.7,12.6,197.9,80.2,36,217,6.1,5.8,7,4,2368,23,59,4.5,148,24,32,325,0,36,10.2,63,1404,1,91,22.3,7264,0,0,10,8,0.8,14,12,0.85714286,13,11,3,1,0.75,40,32,0.8,43,42,0.977,67,2804,59,0,41.9,1,1,0,44,0,0,5334,1002,5.3,288,171,97,39,15,20,285,514,55.4,3287,23,4.5,24,4.7,7,5.8,12.6,205.4,72.8,47,298,5.9,4.8,8.4,2047,12,4.6,127.9,23,0,73,1607,0,22,24,18,0.75,33,32,0.97,72,3024,42,3,0,0.46766169,No,Yes,Yes,1.01553398,0.49614644,0.50385356,13.7686567,16.9872611,6.60792952,7.87878788
2003,Atlanta,11,5,43.57,930,4.7,252,127,99,31,10,26,230,50,2408,14,21,4.6,86,5.7,4.3,11.4,150.5,58.7,35,223,4.9,3.5,7.1,0,1949,17,69,4.5,121.8,22,43,613,1,72,14.3,79,1572,0,52,19.9,6542,0,0,6,6,1,11,9,0.81818182,7,4,3,0,0.4,27,19,0.704,33,32,0.97,87,3473,54,0,39.9,0,3,0,35,0,0,6108,1043,5.9,333,187,122,31,16,24,323,508,63.6,3800,28,5.5,15,3,7.9,7.7,12.4,237.5,94,36,205,7,6.8,6.6,1406,12,3.2,87.9,35,1,62,1204,0,19.4,25,19,0.76,48,47,0.979,82,3559,43.4,2,4,0.47282609,Yes,Yes,Yes,0.87878788,0.53225806,0.46774194,14.5719064,14.4739336,8.29596413,5.36779324
2004,Atlanta,8,11,50.84,969,5.2,284,120,133,30,14,31,217,54.9,2412,15,16,4.1,62,6.8,5.8,12.4,150.8,72,50,280,5.4,4.5,11.2,4,2672,20,60,5.1,167,26,37,457,1,75,12.4,61,1331,0,49,21.8,6872,1,1,7,7,1,9,7,0.77777778,6,3,0,0,0.5,23,18,0.783,40,40,1,76,3082,56,0,40.6,1,4,0,41,0,0,5207,999,5.2,310,183,107,32,13,20,328,517,63.4,3526,19,3.7,19,3.7,7.4,6.5,11.7,220.4,82.8,48,312,6.2,5.4,8.5,1681,20,3.9,105.1,33,0,56,1117,1,19.9,18,16,0.889,39,39,1,80,3464,43.3,1,1,0.47164948,No,No,No,1.17752809,0.45923633,0.54076367,14.9529412,15.4510386,5.23560209,4.73372781
2005,Atlanta,7,8,52.25,1021,5.1,313,149,139,29,16,25,247,54.8,2679,19,13,2.9,58,6.4,6,11.8,167.4,76.6,39,228,5.5,5,8,1,2546,17,65,4.8,159.1,26,31,261,0,29,8.4,70,1482,0,47,21.2,6968,0,0,10,9,0.9,11,11,1,4,3,2,1,0.66666667,27,24,0.889,35,35,1,78,3300,67,0,42.3,2,0,1,39,4,1,5200,1001,5.2,319,167,122,29,13,30,320,526,60.8,3137,18,3.4,16,3,6.5,5.8,10.6,196.1,78.4,37,257,5.6,4.9,6.6,2063,18,4.7,128.9,35,0,59,1138,0,19.3,30,25,0.833,38,38,1,79,3405,43.1,0,0,0.4375,No,No,No,1.08367347,0.47992165,0.52007835,14.8860399,15.2492669,4.51467269,5.83657588
2006,Atlanta,4,7,53.1,1000,5.3,287,133,134,20,5,20,222,53.4,2371,21,15,3.6,55,6.4,5.8,12.1,148.2,75.2,47,311,5.1,4.6,10.2,1,2939,9,90,5.5,183.7,18,37,288,0,41,7.8,68,1542,0,51,22.7,7140,0,0,9,8,0.88888889,10,7,0.7,9,7,4,1,0.61538462,32,23,0.719,31,31,1,78,3283,65,2,42.1,1,1,0,32,0,0,5325,994,5.4,313,183,97,26,14,33,321,515,62.3,3668,20,3.9,12,2.3,7.6,7.3,12.2,229.3,88.8,37,235,6.6,6.4,6.7,1657,14,3.7,103.6,25,0,53,1093,0,20.6,29,23,0.793,37,37,1,77,3380,43.9,0,0,0.42962963,Yes,Yes,No,1.15982721,0.463,0.537,18.1849315,16.2347561,6.58536585,3.3530572
2007,Atlanta,11,4,48.13,987,4.9,248,161,73,24,9,14,336,60.5,3293,18,15,2.7,74,6.4,5.9,10.6,205.8,78.9,47,280,5.5,4.9,7.8,2,1520,7,67,3.9,95,18,36,228,0,23,6.3,72,1781,0,76,24.7,6822,0,0,10,9,0.9,12,12,1,10,5,0,0,0.5,34,26,0.765,25,25,1,88,3824,63,0,43.5,1,0,0,26,0,0,5688,1042,5.5,320,190,105,28,12,25,336,536,62.7,3655,27,5,16,3,7.1,6.8,11.3,228.4,88.2,25,146,6.5,6.2,4.5,2033,12,4.2,127.1,41,0,50,1148,1,23,30,28,0.933,46,46,1,74,3064,41.4,1,0,0.40909091,Yes,Yes,Yes,0.63953488,0.60992908,0.39007092,18.5830116,13.7391304,5.07246377,6.39534884
2008,Atlanta,9,11,57.79,1011,5.7,313,157,131,21,10,25,265,61.1,3336,16,11,2.5,70,7.9,7.5,13,208.5,87.7,17,104,7.4,7,3.8,4,2443,23,70,4.4,152.7,18,43,379,1,61,8.8,59,1408,0,92,23.9,7566,0,0,11,11,1,8,7,0.875,10,10,2,1,0.91666667,31,29,0.935,42,42,1,65,2647,60,2,40.7,1,2,0,43,1,1,5566,998,5.6,309,189,108,18,8,12,325,549,59.2,3526,20,3.6,10,1.8,6.9,6.8,11.6,220.4,84.6,34,245,6,6,5.8,2040,17,4.9,127.5,20,0,71,1536,0,21.6,25,20,0.8,35,35,1,76,3458,45.5,3,0,0.46639511,No,No,No,1.24168514,0.44609298,0.55390702,14.7800512,17.1261538,5.39906103,5.24344569
2009,Atlanta,13,9,54.47,1048,5.2,330,192,105,25,8,33,332,58.2,3571,26,17,3,90,6.5,6.1,11.1,223.2,80.4,27,126,6,5.6,4.5,4,1876,15,58,4.2,117.3,19,27,270,0,28,10,55,1336,0,62,24.3,7053,0,0,6,6,1,12,8,0.66666667,7,3,4,2,0.45454545,29,19,0.655,43,42,0.977,63,2676,70,1,42.5,2,1,0,44,0,0,5582,997,5.6,303,197,89,28,13,17,335,536,62.5,3871,25,4.7,15,2.8,7.5,7.2,12.1,241.9,89.5,28,170,6.9,6.6,5,1711,10,4,106.9,27,1,46,945,0,20.5,28,20,0.714,38,37,0.974,62,2635,42.5,0,0,0.4691358,No,No,No,0.75544389,0.56965649,0.43034351,15.0055096,17.1753846,3.83211679,4.70809793
2010,Atlanta,10,13,54.58,1097,5,353,200,111,17,8,42,361,62.6,3567,28,9,1.6,46,6.5,6.7,10.3,222.9,90.8,23,158,5.9,6.2,3.8,6,1891,14,55,3.8,118.2,12,19,230,1,55,12.1,46,1221,1,102,26.5,6909,0,0,11,11,1,9,8,0.88888889,10,8,1,1,0.81818182,31,28,0.903,44,44,1,75,3015,61,1,40.2,1,2,0,47,2,0,5319,957,5.6,284,183,87,31,9,14,364,560,65,3625,23,4.1,22,3.9,6.9,5.9,10.6,226.6,82.2,31,221,6.1,5.2,5.2,1694,9,4.6,105.9,28,0,64,1362,1,21.3,23,15,0.652,31,31,1,73,3322,45.5,1,0,0.46308725,No,No,No,0.82833333,0.54694622,0.45305378,13.1835749,18.46875,4.36300175,3.62976407
2011,Atlanta,13,10,60.26,1073,5.6,349,215,100,21,8,34,365,61.4,4192,29,13,2.2,80,7.3,7.3,12,262,91.1,26,173,6.8,6.8,4.2,3,1834,14,81,4,114.6,12,33,315,0,42,9.5,24,563,0,37,23.5,7077,2,2,9,9,1,9,9,1,7,5,2,2,0.77777778,29,27,0.931,45,45,1,71,2990,59,0,42.1,1,2,0,46,0,0,5338,965,5.5,292,186,87,29,10,19,340,560,60.7,3786,25,4.5,19,3.4,7.2,6.5,11.8,236.6,83.3,33,231,6.4,5.8,5.6,1552,10,4.2,97,31,0,60,1487,0,24.8,28,23,0.821,37,37,1,75,0,0,0,1,0.44168734,No,No,No,0.73064516,0.5778192,0.4221808,14.9900498,15.2514286,6.18556701,4.88245931
2012,Atlanta,NA,13,59.06,1021,5.8,343,247,70,18,4,26,422,68.6,4509,32,14,2.3,80,7.7,7.7,11.2,281.8,99.1,28,210,7,7,4.4,6,1397,12,43,3.7,87.3,9,26,205,0,28,7.9,27,640,0,77,23.7,6961,1,1,9,8,0.9,11,10,0.90909091,13,10,4,4,0.82352941,38,33,0.868,44,44,1,62,2847,63,0,45.9,1,1,0,46,0,0,5849,991,5.9,298,189,99,31,11,10,337,551,61.2,3878,14,2.5,20,3.6,7.4,6.2,12,242.4,77.1,29,182,6.7,5.6,5,1971,16,4.8,123.2,26,0,48,1065,0,22.2,32,27,0.844,30,30,1,64,0,0,0,1,0.41317365,No,No,?,0.58786936,0.62977473,0.37022527,14.0954654,19.5618729,4.58265139,5.30164534
2002,Baltimore,10,7,46.39,947,4.9,261,145,90,32,18,26,262,54.7,2847,20,14,2.9,77,6.5,6,11.9,177.9,76.5,41,271,5.5,5,7.9,1,1792,9,75,4.2,112,34,34,384,1,95,11.3,68,1433,0,64,21.1,6456,0,0,9,9,1,5,4,0.8,10,7,1,1,0.72727273,26,21,0.808,33,33,1,84,3484,61,2,41.5,1,2,3,36,2,0,5353,1077,5,316,190,95,31,6,31,360,573,62.8,3591,16,2.8,25,4.4,6.7,5.3,10.6,224.4,73.4,33,232,5.9,4.6,5.4,1762,17,3.7,110.1,40,2,67,1512,1,22.6,33,29,0.879,32,31,0.969,78,3182,40.8,2,2,0.49295775,No,Yes,No,0.82115385,0.54910243,0.45089757,14.6803797,15.1214689,5.52016985,6.79785331
2003,Baltimore,9,10,49.29,1009,4.9,259,121,115,38,19,23,217,52.3,2255,16,19,4.6,73,6.1,4.8,11.6,140.9,64.7,42,262,4.9,3.8,9.2,2,2674,18,82,4.8,167.1,37,53,410,0,44,7.7,57,1222,0,75,21.4,6561,0,0,16,16,1,6,6,1,14,11,4,1,0.66666667,40,34,0.85,35,35,1,91,3712,67,0,40.8,1,4,2,41,4,0,4341,1026,4.2,248,144,78,41,17,26,296,531,55.7,2805,19,3.6,24,4.5,5.9,4.6,10.7,175.3,66.4,47,353,4.9,3.6,8.1,1425,7,3.5,89.1,42,0,70,1495,1,21.4,31,28,0.903,27,27,1,105,4210,40.1,1,0,0.44885177,No,No,No,1.20787746,0.45292369,0.54707631,12.6061381,15.4483986,8.14814815,3.42205323
2004,Baltimore,6,9,43.75,991,4.4,260,135,103,23,12,22,258,55.5,2312,13,11,2.4,57,5.5,5,9.9,144.5,70.7,35,247,4.6,4.2,7,2,2063,11,75,4.2,128.9,26,60,616,2,78,10.3,61,1264,0,64,20.7,6255,2,2,9,9,1,8,7,0.875,10,9,3,2,0.84615385,32,29,0.906,30,30,1,97,3935,61,0,40.6,2,5,0,33,1,0,4803,1009,4.8,272,158,88,34,13,26,276,501,55.1,3122,14,2.8,21,4.2,6.8,5.4,12.3,195.1,68,39,264,5.8,4.6,7.2,1681,9,3.6,105.1,36,0,65,1509,2,23.2,31,26,0.839,24,24,1,94,3769,40.1,1,1,0.44367816,No,No,No,0.982,0.50454087,0.49545913,13.8012618,17.9216418,4.89977728,5.31697342
2005,Baltimore,13,6,46.93,1056,4.4,286,163,97,36,15,26,335,59.6,3088,17,21,3.7,48,6,4.9,10.1,193,71.3,42,293,5.1,4.1,7,3,1605,5,52,3.6,100.3,28,39,431,0,51,11.1,60,1289,0,87,21.5,6413,1,1,8,8,1,11,10,0.90909091,14,11,1,0,0.73333333,35,30,0.857,23,23,1,86,3728,60,1,43.3,2,1,0,25,1,0,4549,998,4.6,277,161,79,26,15,37,296,525,56.4,2958,18,3.4,11,2.1,6.1,5.9,10.9,184.9,77.4,42,270,5.2,5,7.4,1591,8,3.7,99.4,55,1,62,1352,0,21.8,31,29,0.935,29,28,0.966,89,3604,40.5,1,1,0.4120603,No,Yes,No,0.74834437,0.5719697,0.4280303,17.709434,15.2140468,3.44827586,6.04288499
2006,Baltimore,5,13,50.72,1017,5,282,179,86,23,9,17,328,62.6,3435,21,14,2.7,87,6.7,6.3,10.8,214.7,84.6,17,100,6.3,6,3.1,3,1637,11,52,3.4,102.3,21,45,351,0,65,7.8,45,1046,0,72,23.2,6469,0,0,13,12,0.92307692,9,9,1,7,6,1,1,0.875,30,28,0.933,37,37,1,86,3695,61,0,43,1,5,0,38,0,2,4225,936,4.5,236,151,59,40,12,26,279,509,54.8,3011,16,3.1,28,5.5,6.7,4.9,12.3,188.2,63.4,60,418,5.3,3.6,10.5,1214,5,3.3,75.9,44,0,75,1636,0,21.8,23,17,0.739,20,20,1,86,3861,44.9,1,1,0.42144638,No,Yes,Yes,0.87985213,0.53195674,0.46804326,14.368272,21.0199005,3.68932039,4.7151277
2007,Baltimore,11,5,48.32,1042,4.6,291,175,96,40,26,20,341,61.2,3035,13,14,2.5,79,5.9,5.3,9.7,189.7,75.2,39,273,5.1,4.5,6.5,1,1797,11,46,4,112.3,35,35,338,2,75,9.7,65,1525,1,94,23.5,6695,1,1,11,11,1,7,7,1,12,8,1,0,0.61538462,32,27,0.844,26,26,1,79,3441,64,1,43.6,0,1,0,28,0,0,4825,968,5,258,162,69,23,6,27,293,490,59.8,3557,27,5.5,17,3.5,7.6,7.2,12.8,222.3,87.6,32,183,6.8,6.4,6.1,1268,9,2.8,79.3,38,0,61,1444,0,23.7,43,37,0.86,36,35,0.972,76,3276,43.1,1,1,0.40774487,Yes,Yes,Yes,0.74832215,0.57197697,0.42802303,17.5709091,12.5651042,4.74452555,5.38302277
