SalePrice,YearsAgo,YearMade,Usage,Blade,Tire
75000,0.64,1997,15266,14,14
43000,0.79,1980,15220,14,14
42000,1.25,1974,15196,16,20.5
59000,0.07,1991,15175,12,14
91000,0.56,1995,15095,14,14
45000,0.54,1984,15086,16,23.5
85000,0.67,1997,15005,14,17.5
35000,0.26,1986,14969,12,14
100000,1.06,1994,14932,14,20.5
55000,2.53,1986,14879,12,14
94000,2.61,1996,14870,16,20.5
50000,2.3,1994,14855,14,14
63000,2.89,1994,14843,14,14
34000,1.06,1990,14680,14,14
89000,0.25,1997,14646,16,14
52500,1.25,1993,14624,12,14
31000,3.13,1994,14570,14,14
27500,1.46,1981,14525,16,23.5
81000,1.27,1999,14488,14,14
38000,2.76,1978,14436,14,14
67500,0.27,1991,14418,12,14
122500,0.07,1990,14415,14,20.5
70000,1.27,1997,14392,12,14
47500,1.04,1981,14390,14,17.5
36000,4.7,1974,14352,14,14
84000,5.7,1996,14243,14,14
52000,1.07,1989,14225,14,14
81000,1.27,1998,14221,14,14
55000,0.56,1990,14214,12,14
90000,4.13,1995,14192,14,14
20500,0.72,1989,14183,14,14
116000,5.66,1996,14179,14,14
55000,1.04,1989,14158,14,14
105000,0.64,2001,14156,14,14
86000,0.03,1997,14153,12,14
66000,2.11,1991,14150,14,14
42000,0.79,1977,14142,12,14
86000,2.71,2000,14112,14,17.5
70000,1.12,1986,13898,14,20.5
135000,0.77,1997,13871,16,20.5
95000,0.37,2002,13806,12,14
83000,1.27,1998,13751,14,14
22000,0.54,1989,13711,12,14
78000,1.27,1998,13679,14,14
68000,2.63,1996,13624,14,17.5
85000,0.87,1996,13613,14,14
70000,1.25,1996,13608,14,14
137000,1.77,2002,13606,16,20.5
86000,0.44,1997,13568,14,14
50000,1.25,1988,13550,12,14
69000,4.03,1994,13524,14,17.5
113000,0.41,2001,13496,14,14
37000,1.3,1977,13488,12,14
50000,4.3,1997,13411,14,14
84000,0.87,1997,13393,14,17.5
80000,0.87,1997,13370,14,14
67500,0.7,1994,13297,14,14
77500,0.03,1992,13232,12,14
89500,2.67,1999,13179,14,14
32000,2.63,1999,13167,14,14
82500,2.56,1996,13138,14,14
81000,0.67,1996,13087,14,17.5
86000,0.39,1997,13082,14,14
65000,0.81,1993,13034,14,14
99000,0.06,1998,13027,14,14
65000,0.79,1994,12983,14,14
76000,1.16,1998,12927,14,14
96000,4.28,1997,12872,14,14
97500,0.64,1999,12833,14,14
85000,1.04,1997,12711,14,14
74000,1.69,1998,12679,14,14
54000,1.07,1978,12592,16,23.5
92500,0.56,1996,12557,14,14
72000,0.04,1997,12544,14,14
114000,0.41,2001,12509,14,14
59000,3.51,1989,12471,14,14
49000,2.48,1992,12440,14,14
79000,0.04,2000,12408,14,14
77500,0.76,1999,12368,14,14
86000,1.06,1998,12359,14,17.5
94000,5.62,1996,12303,14,14
46000,4.93,1994,12297,12,14
130000,0.72,1995,12266,16,20.5
80000,0.03,1997,12265,14,14
62500,0.12,1991,12204,12,14
97000,2.48,2000,12170,14,14
82000,1.06,1998,12161,14,14
66000,0.81,1993,12044,14,14
30000,3.05,1986,12000,14,14
100000,1.12,2003,11996,14,17.5
30000,1.14,1990,11934,14,14
69000,2.08,1997,11899,14,14
87500,0.76,2000,11890,14,14
86000,0.79,1999,11880,14,17.5
102500,0.18,2002,11869,14,14
102500,0.53,2002,11860,12,14
46000,0.06,2000,11779,14,14
74000,0.75,1997,11754,12,14
54000,0.39,2000,11752,14,14
54000,0.39,2000,11752,14,14
54000,0.39,2000,11752,14,14
92500,1.7,2001,11750,14,14
75000,0.24,1994,11747,12,14
44000,0.14,2001,11736,14,17.5
140000,1.63,2003,11713,16,20.5
97500,1.7,2002,11711,14,14
82000,2.19,2001,11706,14,17.5
77500,1.12,1998,11700,12,14
50000,4.47,1987,11687,12,14
36000,0.04,1996,11662,14,14
67500,2.84,1997,11661,14,14
85000,0.02,2000,11657,14,17.5
48000,0.07,1984,11648,12,14
79000,0.92,1996,11602,14,14
75000,1.69,1998,11602,14,14
52500,0.06,1986,11591,12,14
19500,2.61,1995,11525,14,14
102000,4.28,1998,11475,14,14
54000,0.39,1997,11449,14,14
54000,0.39,1997,11449,14,14
35000,0.28,1983,11433,12,14
96000,0.27,2001,11429,14,14
95000,0.28,2001,11384,14,14
41000,0.25,1999,11370,16,14
69000,0.05,1991,11366,12,14
22000,2.76,1993,11353,12,14
73000,0.18,2006,11304,14,14
105000,1.16,2001,11275,14,17.5
60000,0.05,1997,11248,14,14
38500,3.4,1978,11203,12,14
100000,1.25,2001,11187,14,14
87500,0.43,1997,11131,14,14
70000,1.61,1997,11114,14,14
87500,2.19,2000,11088,14,17.5
76000,1.44,1998,11071,14,14
75000,1.65,2001,11070,14,14
52000,0.87,1985,11065,14,15.5
135000,0.12,2004,11065,14,14
50000,0.67,1981,11014,14,17.5
79000,0.07,1998,10968,12,14
42500,0.04,1977,10946,12,14
55000,2.36,1996,10940,16,23.5
92500,0.35,1998,10877,14,14
40000,1.07,1981,10826,16,23.5
65000,0.75,1993,10796,14,14
36000,1.87,1980,10783,12,14
46000,1.04,1997,10781,14,17.5
23000,2.87,1987,10747,13,17.5
95000,0.77,1998,10743,14,17.5
29000,1.14,1999,10687,14,17.5
67000,7.19,1994,10680,14,14
75000,2.29,1999,10648,14,14
36000,0.04,1996,10628,14,14
81000,1.25,1999,10582,14,17.5
109000,4.28,1999,10569,14,14
44000,1.04,1983,10541,14,17.5
45000,0.87,1983,10541,14,17.5
100000,0.32,2000,10514,12,14
140000,0.52,1995,10479,14,20.5
45000,1.07,1983,10479,14,14
115000,0.87,2001,10474,14,14
69000,2.61,1998,10452,14,14
102500,0.07,2000,10392,12,14
35000,0.2,1993,10392,13,14
60000,0.43,1988,10390,12,14
90000,0.79,2000,10390,14,14
69000,1.06,1991,10373,12,14
110000,0.56,2001,10365,14,14
106000,4.2,1998,10365,14,14
23000,0.6,1993,10356,14,14
135000,0.75,1998,10329,16,20.5
85000,0.35,1999,10324,14,14
106000,0.79,2001,10315,14,14
70000,0.87,1996,10313,12,14
76000,2.8,1996,10304,14,14
135000,0.23,1995,10278,14,20.5
86500,0.79,1999,10212,14,14
100000,0.5,2001,10208,12,14
54000,0.08,2001,10205,14,14
30000,1.6,1974,10188,14,14
42000,2.13,1998,10183,14,14
130000,0.18,2001,10146,14,14
102000,3.47,1998,10125,14,14
41000,1.27,1998,10111,14,14
37000,3.74,1996,10100,14,14
32000,0.87,1977,10048,16,14
46000,3.13,1999,10048,14,14
39000,3.03,1999,10048,14,14
73000,3.32,1994,10024,12,14
82500,0.87,1999,10015,12,14
92500,0.43,1983,10012,14,20.5
67500,0.06,1992,10009,12,14
80000,0.29,1995,10006,12,14
90000,1.7,2000,9990,14,14
102500,1.65,2002,9982,14,14
49000,0.87,1979,9975,12,17.5
75000,0.56,1993,9961,14,14
111000,0.14,2002,9956,12,14
90000,0.39,1998,9948,14,14
12000,1.59,1965,9899,12,14
39000,1.06,1991,9880,12,14
57500,2.56,1986,9865,14,14
72500,1.04,1995,9857,12,14
85000,0.79,1998,9850,12,17.5
72500,0.87,1998,9844,14,15.5
127000,0.52,2004,9836,14,17.5
26000,0.78,1989,9796,12,17.5
24000,1.03,1989,9795,12,17.5
92500,0.56,1995,9791,14,14
115000,0.04,2002,9778,12,14
70000,1.13,1993,9772,14,14
102000,0.42,2002,9702,14,14
79000,4.7,1994,9649,14,14
80000,0.56,1995,9630,14,14
46000,0.87,1997,9565,14,17.5
91000,2.58,1999,9555,14,14
72000,1.06,1999,9550,12,14
44000,0.05,1983,9546,12,14
90000,1.12,1999,9506,14,14
42000,2.71,2001,9496,14,14
105000,1.18,2004,9477,14,17.5
15000,0.65,1987,9417,14,14
78000,0.37,1998,9399,14,14
82000,1.08,1998,9387,14,14
87000,4.45,1997,9387,14,14
27000,0.68,1981,9385,14,14
30000,0.87,1996,9367,14,14
80000,1.59,1998,9359,12,14
77000,1.37,2001,9350,12,14
37500,2.48,1980,9305,14,14
62000,0.64,1992,9299,14,17.5
59000,1.39,2002,9291,14,14
12500,0.87,1984,9285,12,15.5
47500,2.5,1978,9280,14,20.5
48000,2.17,2002,9274,14,14
77500,1.04,1996,9237,14,14
77500,0.56,1995,9236,14,14
67500,0.76,1993,9211,14,14
97500,0.03,2001,9187,12,14
45000,0.79,1985,9183,14,14
37500,0.6,1989,9174,14,14
70000,0.56,1982,9160,16,23.5
80000,1.25,1998,9139,14,17.5
68000,2.21,1995,9132,14,14
69000,1.21,1998,9117,14,14
43000,2.57,1985,9112,14,17.5
78000,0.75,1998,9107,12,14
75000,1.07,1995,9098,14,17.5
75000,7.62,1995,9076,14,14
45000,0.75,1997,9061,14,14
41000,3.74,1995,9016,12,14
67000,0.87,2003,9006,14,14
62000,0.2,1986,9000,12,14
31000,1.77,1997,8949,14,14
95000,0.75,1998,8947,14,17.5
80000,2.48,1998,8936,14,14
45000,1.04,1998,8935,14,17.5
100000,2.84,2004,8931,14,17.5
20000,0.05,1986,8910,12,14
80000,1.42,1996,8892,14,14
125000,0.18,2005,8882,14,14
117000,4.32,2000,8856,14,14
46500,4.7,1995,8809,12,14
125000,1.35,2004,8783,14,17.5
9000,3.22,1987,8760,12,14
77000,1.44,1998,8739,14,14
89000,1.04,2001,8731,14,14
38000,0.54,1974,8726,14,14
26000,2.76,1991,8723,14,14
107500,0.87,2004,8709,14,15.5
82000,1.54,2003,8707,14,17.5
85000,0.87,1997,8694,14,17.5
112500,1.06,2003,8647,14,17.5
79000,2.78,2001,8630,14,14
56000,1.44,1988,8624,14,14
86000,0.16,1998,8600,12,14
102000,0.92,2001,8572,16,14
110000,0.33,2003,8568,14,14
55000,0.87,1988,8521,12,15.5
47000,0.51,1985,8517,12,14
47000,0.51,1985,8517,12,14
63000,2.17,1996,8505,16,14
68000,2.4,1996,8500,16,14
85000,0.81,2000,8496,12,14
112500,2.21,2005,8434,14,17.5
70000,0.04,1988,8409,12,14
48000,1.44,2002,8403,14,14
48000,0.52,1985,8384,12,14
88000,1.2,1999,8384,12,14
112000,0.77,2001,8382,14,14
50000,0.29,1982,8364,16,20.5
75000,1.89,2003,8355,14,14
80000,0.81,1998,8341,14,14
48000,1.06,2001,8339,14,14
58000,1.28,1995,8336,14,13
8500,0.5,1977,8333,13,14
52000,0.81,2002,8328,14,17.5
89000,2.61,2002,8317,14,14
62500,0.06,2004,8290,14,14
35000,1.25,1985,8279,14,14
29000,3.4,1975,8248,12,14
45000,2.25,2001,8237,14,14
92500,1.04,1996,8190,16,14
52000,1.56,1999,8185,16,14
83000,1.77,2002,8183,14,14
40000,2.4,1972,8167,14,14
89000,1.08,2003,8163,14,17.5
76000,0.45,1983,8158,14,20.5
55000,0.35,1999,8156,14,14
82500,0.87,1999,8137,14,15.5
82500,0.22,1999,8123,14,14
14500,2.94,1989,8121,12,14
91000,2.17,2004,8115,12,14
100000,2.67,2004,8112,12,14
72500,0.22,1993,8089,12,14
116000,3.67,1998,8079,14,14
96000,5.55,1997,8064,14,14
41000,1.73,1996,8033,14,17.5
92500,0.56,2002,8016,14,14
70000,5.43,2000,8015,14,17.5
90000,0.87,1999,7996,14,13
50000,2.29,1985,7995,12,14
31000,6.73,1977,7962,12,14
30000,0.88,1979,7961,12,14
45000,0.87,1984,7947,12,14
21000,1.59,1991,7937,12,14
75000,1.81,2005,7908,14,14
39000,0.81,1991,7897,12,14
72500,1.29,2002,7886,14,14
47500,0.51,1997,7859,12,14
58000,1.25,1982,7858,14,17.5
84000,6.43,1998,7817,14,14
68000,1.89,1996,7785,14,17.5
100000,0.56,2001,7766,14,14
61000,0.79,1991,7738,14,14
115000,3.4,2001,7736,14,17.5
125000,3.59,2003,7732,14,17.5
42500,2.65,1990,7725,14,14
48000,0.79,1997,7693,14,14
76000,1.31,2005,7685,16,14
107000,1.14,2001,7611,14,14
67000,3.05,1993,7604,14,14
58000,3.03,2001,7602,14,14
14500,2.64,1987,7584,14,14
62500,1.07,1979,7575,16,20.5
14000,2.64,1987,7570,14,14
27500,0.04,1980,7563,12,14
128000,3.8,1999,7562,14,14
111000,1.33,2003,7553,14,14
102500,0.2,1998,7477,12,14
92500,2.57,2001,7445,14,14
54000,0.87,1988,7440,12,14
10500,2.07,1989,7436,14,13
13000,1.23,1984,7435,14,14
82500,1.12,1999,7419,14,14
71000,2.04,1997,7406,14,17.5
142000,0.75,2006,7387,16,14
26000,2.58,1989,7377,12,14
92500,0.87,2000,7366,12,14
133000,3.73,1996,7363,14,14
136000,4.89,2002,7360,14,14
132500,0.87,2005,7353,14,17.5
61000,1.21,1996,7333,14,14
37500,0.87,1985,7324,14,17.5
102000,3.55,1996,7316,14,14
78000,0.75,1999,7307,14,14
102500,0.07,2005,7296,14,14
19000,2.86,1986,7293,14,14
47500,0.07,2002,7291,14,14
82000,0.75,2000,7275,12,15.5
93000,2.67,2004,7273,12,14
130000,4.61,2002,7265,12,17.5
73000,2.61,1999,7217,14,14
55000,1.54,2002,7204,14,17.5
86000,4.7,2002,7197,14,14
27500,1.29,1975,7197,16,23.5
66000,0.87,1984,7187,14,14
22000,0.87,1992,7163,12,14
118000,1.59,2005,7161,14,17.5
107000,0.25,2001,7121,14,14
11000,1.04,1980,7113,13,14
92000,6.39,2000,7112,12,14
121000,4.18,2002,7106,14,15.5
47000,2.36,2001,7091,12,14
67500,0.12,2006,7090,14,14
37500,1.06,1978,7088,14,14
122500,0.73,1997,7060,14,17.5
135000,0.5,2004,7057,14,14
115000,0.08,2002,7040,12,14
76000,2.61,2001,7026,16,14
90000,2.58,2003,7018,14,14
110000,0.06,2000,7016,12,14
91000,0.25,2001,7011,12,14
87500,1.06,1998,7001,14,14
17000,2.87,1991,6980,13,14
110000,1.71,2003,6976,14,14
137500,1.33,2006,6959,14,14
114000,5.35,1997,6950,14,14
122500,1.37,2005,6925,14,17.5
82500,2.21,2005,6922,14,15.5
15000,2.86,1985,6905,14,14
102500,2.48,2003,6905,14,17.5
57500,2.62,1981,6886,14,20.5
64000,3.28,1998,6862,14,14
117500,0.75,2004,6840,12,14
70000,1.13,2003,6830,14,17.5
51000,0.56,1982,6812,14,17.5
17500,2.86,1986,6775,14,14
130000,1.33,2005,6758,14,14
40000,1.23,1976,6725,12,14
20000,2.4,1995,6725,14,14
37000,1.77,1989,6715,12,14
36000,1.06,1977,6713,14,14
136000,4.59,2003,6687,12,14
77500,0.04,1999,6629,14,14
38000,1.83,1996,6620,14,14
38000,0.83,1996,6620,14,14
51000,1.12,1982,6579,14,14
127000,5.2,2001,6564,14,14
93000,1.84,1999,6558,14,14
102500,2.48,2003,6549,14,17.5
13000,2.97,1987,6542,12,14
130000,0.07,2006,6535,12,14
92000,1.29,1999,6515,14,14
46000,0.81,1980,6507,14,14
43000,0.23,1993,6479,12,14
95000,1.65,2001,6462,14,14
130000,0.87,2005,6452,14,14
45000,0.29,1998,6437,14,14
95000,0.44,2001,6435,12,14
79000,3.66,1998,6415,12,17.5
72000,0.64,2005,6354,14,14
135000,4.22,2003,6328,14,17.5
95000,2.57,2004,6320,14,14
55000,0.41,1986,6315,12,14
80000,1.21,1997,6299,14,14
26000,0.79,1993,6243,14,14
127500,0.37,2006,6239,12,14
140000,3.69,2003,6207,14,17.5
62000,1.67,2000,6185,14,14
75000,2.14,2004,6180,14,14
75000,2.14,2004,6180,14,14
69000,2.8,2004,6180,14,14
18000,1.42,1980,6166,12,14
85500,4.3,1994,6160,14,14
140000,1.04,2005,6137,14,14
20000,0.14,1994,6122,12,14
102000,2.94,2004,6119,14,14
32000,1.15,1974,6097,14,14
74000,2.11,2002,6056,16,14
14000,2.53,1985,6052,14,17.5
81000,2.59,2004,6036,14,14
125000,1.65,2004,6021,14,14
115000,1.18,2005,5994,14,15.5
72500,4.45,2000,5989,14,14
84500,3.57,1995,5985,14,14
120000,1.6,2005,5971,14,17.5
125000,0.26,2001,5967,12,14
129000,0.85,2005,5934,14,15.5
105000,2.94,2004,5924,14,14
92000,1.73,2000,5922,14,14
56000,3.34,1989,5902,14,17.5
123000,2.19,2005,5900,14,17.5
77500,2.58,2001,5896,14,14
63000,1.36,2003,5891,12,14
63000,1.36,2003,5891,12,14
9500,1.33,1975,5889,12,14
63000,0.71,1998,5864,14,14
91000,1.25,2000,5861,12,14
108000,5.2,1999,5856,12,17.5
67000,1.13,1990,5848,14,14
79000,2.92,1999,5833,12,14
110000,1.37,2005,5827,14,15.5
36000,0.87,1977,5806,12,14
81000,2.59,2004,5777,14,14
20000,1.91,1984,5777,14,14
102000,0.94,2003,5767,14,17.5
93000,3.03,2002,5763,14,14
100000,0.45,1998,5686,12,14
65000,1.55,2003,5684,14,17.5
12000,0.62,1985,5662,14,14
81000,1.73,1998,5647,14,14
85000,2.58,2003,5622,14,14
50000,0.18,1998,5619,14,14
83000,1.44,2000,5573,12,14
60000,4.3,1998,5557,14,14
41000,3.9,1997,5540,14,14
100000,1.67,2001,5535,14,14
35000,2.21,1974,5519,14,14
95000,0.53,1997,5470,12,14
13000,1.04,1986,5459,12,14
80000,7.25,1995,5459,14,14
140000,1.63,2004,5455,14,17.5
110000,3,2005,5453,12,14
100000,0.25,2001,5409,12,14
24000,1.06,1975,5408,12,14
92500,1.68,2004,5404,14,14
105000,2.57,2004,5403,14,14
82500,2.58,2002,5400,14,14
23000,1.7,1984,5393,14,14
13250,2.97,1988,5368,12,14
140000,0.58,2005,5343,14,14
55000,0.29,1997,5342,14,14
25000,1.06,1978,5326,12,14
37000,1.77,1976,5324,14,14
52500,1.25,1988,5320,12,15.5
92500,0.81,1996,5310,14,14
116000,3.17,2003,5305,14,14
132500,0.51,2004,5273,14,14
58000,0.87,1999,5258,13,14
75000,1.36,1998,5254,14,14
65000,2.29,1983,5224,16,20.5
86000,1.22,2001,5179,12,14
92500,3.03,2003,5171,14,14
89000,0.29,2000,5111,12,14
117500,0.87,2002,5108,12,14
117500,0.87,2002,5108,12,14
90000,2.32,2003,5107,14,14
47500,0.56,1990,5079,12,13
130000,2.21,2005,5068,14,17.5
73000,2.08,1998,5049,14,14
120000,1.06,2003,5044,14,17.5
80000,0.06,1994,5039,12,14
82500,0.87,2002,4995,14,14
135000,1.33,2005,4988,14,14
125000,2.36,2006,4972,14,14
125000,2.36,2006,4972,14,14
111000,7.62,2000,4931,12,14
77500,1.25,2005,4919,14,14
114000,3.17,2003,4857,14,14
116000,3,2005,4849,12,14
100000,2.13,2004,4847,14,17.5
28000,0.14,1975,4843,12,14
14500,2.64,1987,4830,14,14
112500,0.87,2004,4825,14,15.5
141000,5.66,2001,4811,14,14
120000,2.57,2005,4801,14,14
85000,18.2,1989,4800,14,14
57500,0.75,1989,4795,14,14
45500,3.74,1996,4774,14,14
31000,1.06,1966,4752,14,14
65000,3.17,2003,4718,14,14
117500,1.21,2004,4713,14,14
125000,2.36,2006,4656,14,14
105000,3.05,2003,4652,14,17.5
132500,0.18,2005,4646,12,14
83000,2.06,2000,4632,12,14
141000,4.18,2004,4630,14,15.5
95000,2.32,2004,4625,14,14
49000,0.35,1976,4621,14,20.5
90000,3.71,2003,4616,14,14
85000,0.73,1980,4612,16,20.5
110000,2.61,2005,4560,12,14
127000,6.39,2000,4554,14,14
67500,1.08,2003,4529,14,14
141000,3.8,2003,4515,14,14
77500,1.92,2003,4469,14,17.5
100000,1.54,2004,4468,14,17.5
107500,1.6,2005,4462,14,15.5
112500,0.87,2004,4456,14,15.5
35000,0.87,1982,4433,12,14
38000,0.62,1982,4433,12,14
10000,1.36,1981,4405,12,14
117000,7.62,2000,4393,12,14
32000,0.03,1977,4357,12,14
62000,4.89,1998,4352,14,14
88000,2.61,2002,4348,14,14
142000,0.25,2005,4306,14,17.5
88000,0.12,2007,4304,14,14
36000,0.61,1998,4286,12,14
75000,0.43,2001,4258,14,14
55000,0.18,1977,4252,14,20.5
125000,2.36,2006,4233,14,14
114000,0.83,2008,4204,14,14
50000,0.28,1977,4198,14,14
34000,0.87,1975,4174,12,20.5
34000,0.87,1975,4174,12,20.5
40000,2.62,1983,4168,14,14
91000,2.42,2002,4168,14,14
70000,0.62,2004,4161,14,17.5
47000,1.63,1979,4132,14,23.5
70000,0.67,1997,4116,14,17.5
12500,1.25,1991,4107,14,14
115000,4.33,2004,4100,14,20.5
132000,3.3,1998,4078,14,14
85000,3.36,1998,4078,14,14
132500,3.04,2005,4072,12,14
130000,2.18,2005,4055,14,17.5
45000,1.69,1980,4054,14,14
25000,0.67,1983,4047,14,14
25000,0.67,1983,4047,14,14
50000,0.87,1981,4046,12,14
83000,2.71,2005,4017,12,14
8500,1.27,1988,4013,12,14
55000,1.23,1995,4001,12,14
14000,2.9,1987,3978,12,14
41000,0.78,1981,3967,12,14
124000,0.12,2009,3943,14,14
33000,1.04,1984,3934,14,20.5
57000,5.93,1993,3924,12,15.5
34000,0.81,1982,3923,12,14
37500,0.65,1995,3908,12,14
124000,0.12,2009,3899,14,14
85000,2.58,2002,3883,14,14
90000,1.23,1995,3864,14,17.5
124000,0.1,2009,3844,14,14
112000,1.84,2004,3816,14,14
56000,0.5,1998,3812,12,14
96000,2.34,2004,3811,14,17.5
12500,1.42,1978,3807,14,17.5
122500,0.87,2002,3794,12,14
110000,0.06,2004,3780,14,17.5
130000,5.47,2001,3773,16,14
73000,2.15,2001,3745,14,14
120000,2.57,2004,3727,14,14
130000,2.08,2006,3726,14,14
117500,2.21,2005,3707,14,17.5
122500,4.76,2002,3705,14,13
140000,3.12,2005,3692,14,14
94000,0.06,2008,3681,14,14
30000,0.29,1989,3680,12,14
61000,2.48,2004,3674,14,17.5
124000,0.16,2009,3645,14,14
124000,0.12,2009,3642,14,14
117500,3.06,2004,3640,14,17.5
125000,3.12,2004,3636,14,14
76000,1.12,2006,3634,14,17.5
43000,5.35,1983,3624,12,14
82500,1.27,2004,3618,16,20.5
84000,4.03,2004,3617,14,17.5
82500,1.27,2004,3617,16,20.5
137500,4.33,2004,3607,14,20.5
15500,1.87,1984,3586,12,14
107500,2.58,2006,3566,14,14
17500,0.26,1981,3562,14,14
21000,1.79,1987,3559,14,14
67500,2.13,2004,3551,12,17.5
128000,0.08,2001,3519,14,14
39000,4.66,1975,3510,14,14
90000,1.04,2004,3508,12,14
84000,4.45,2003,3493,12,14
95000,0.87,1996,3481,14,14
124000,0.16,2009,3477,14,14
49000,2.3,2004,3476,14,17.5
100000,7.42,1998,3465,12,14
95000,1.75,2005,3441,14,17.5
120000,1.01,2005,3428,12,15.5
118000,1.26,2000,3422,14,14
128000,3.28,2005,3390,14,17.5
135000,3.57,2005,3390,14,14
137500,0.87,2005,3371,14,14
124000,0.1,2009,3333,14,14
95000,0.39,2004,3325,14,14
105000,1.69,2002,3306,14,14
110000,2.27,2001,3303,14,14
110000,2.58,2006,3286,14,14
35000,0.06,1994,3282,14,14
40000,5.35,1978,3276,14,15.5
47500,0.89,1997,3231,16,23.5
73000,0.52,1999,3227,12,14
137500,1.77,2005,3203,14,14
130000,2.4,2007,3194,16,20.5
115000,2.4,2007,3194,16,20.5
59000,3.88,1974,3191,12,15.5
140000,2.57,2006,3180,14,14
54000,3.47,1998,3172,14,14
140000,0.65,2006,3160,16,20.5
15000,2.75,1987,3133,14,14
42000,2.8,2001,3120,14,14
88000,0.04,1997,3041,12,14
95000,2.58,2004,3039,14,14
124000,0.12,2009,3021,14,14
14000,1.84,1997,3008,14,14
75000,3.71,2005,3000,14,14
80000,0.26,1992,2963,16,20.5
121000,1.15,2007,2961,14,14
48000,7.67,1998,2949,12,17.5
96000,0.04,2007,2934,14,14
112000,11.8,1997,2933,14,14
113500,11.8,1997,2926,14,14
108000,2.55,2005,2905,14,14
124000,0.1,2009,2848,14,14
45000,0.64,1986,2843,14,14
73000,1.65,2007,2834,14,20.5
36000,1.76,1976,2829,12,14
42000,0.79,1979,2826,16,23.5
93000,2.53,2004,2821,14,17.5
45000,0.68,1982,2809,14,14
125000,2.57,2005,2797,14,14
112500,0.87,2004,2793,14,15.5
115000,11.8,1997,2790,12,14
140000,0.79,2006,2777,16,20.5
87000,4.36,2002,2761,12,17.5
121000,1.21,2007,2756,14,14
127500,2.18,2005,2755,14,17.5
11750,2.84,1978,2737,12,13
30000,16.2,1975,2700,12,13
96000,4.36,2003,2680,16,17.5
124000,0.1,2009,2670,14,14
80000,0.16,2005,2619,14,17.5
122500,1.56,2005,2600,14,14
115000,15.8,1993,2500,14,14
135000,1.04,2000,2483,16,20.5
63000,2.55,1995,2456,14,17.5
103000,0.27,1998,2436,14,14
36000,0.75,1989,2426,12,13
124000,0.16,2009,2424,14,14
100000,3.82,2003,2418,12,14
124000,0.16,2009,2411,14,14
