Gender,Weight,DesiredWeight,Class,BornInTN,Greek,UTFirstChoice,Churchgoer,ParentsMarried,GPA,SittingLocation,WeeklyHoursStudied,Scholarship,FacebookFriends,AgeFirstKiss,CarYear,DaysPerWeekAlcohol,NumDrinksParty,CellProvider,FreqDroppedCalls,MarriedAt,KidsBy,Computer,FastestDrivingSpeed,BusinessMajor,Major,TxtsPerDay,FootballGames,HoursWorkOut,MilesToSchool,MoneyInBank,MoneyOnHaircut,PercentTuitionYouPay,SongsDownloaded,ParentCollegeGraduate,HoursSleepPerNight,Last2DigitsPhone,NumClassesMissed,BooksReadThisYear,UseChopsticks,YourAttractiveness,Obama,HoursWorkedPerWeek,MoviesInTheater,KnowSomeoneH1N1,ReadBeacon
Male,180,175,Junior,Yes,Yes,No,No,No,2.8,Middle,12,No,567,16,2006,3,12,ATT,Rarely,27,31,Windows,165,Yes,Business,50,6,9,0,-999,12,20,15,Yes,7,77,4,2,Yes,3,NotVote,10,0,No,No
Female,190,190,Junior,No,No,No,Yes,Yes,3.16,Back,3,Yes,937,13,1998,1,7,Verizon,Rarely,30,30,Windows,105,No,NonBusiness,25,8,9,5,1412,70,50,30,Yes,8,8,0,10,Yes,4,Yes,0,4,Yes,Yes
Female,145,130,Sophmore,Yes,No,Yes,No,Yes,3.89,Front,2,Yes,200,14,1995,1,5,Verizon,Rarely,22,NA,Windows,100,Yes,Business,50,1,8,0,200,0,0,5,Yes,8,71,10,1,Yes,3,Yes,0,10,No,No
Male,167,180,Senior,No,No,No,No,Yes,2.8,Front,8,No,800,17,2001,2,11,ATT,Rarely,28,30,Windows,135,No,NonBusiness,20,5,5,5,999,13,50,60,Yes,6,28,5,0,Yes,4,Yes,40,4,No,No
Male,180,175,Junior,Yes,No,Yes,No,Yes,3,Front,2,No,285,13,2007,2,5,USCellar,Rarely,26,30,Windows,100,Yes,Business,30,6,8,6,-999,12,0,20,No,6,66,2,0,Yes,4,No,25,6,Yes,Yes
Female,135,128,Sophmore,No,Yes,No,No,No,3.55,Front,2,Yes,1747,16,2005,2,2,Verizon,Rarely,24,26,Windows,100,No,NonBusiness,50,4,3,0,-999,20,0,7,Yes,8,33,2,0,Yes,4,No,0,9,Yes,Yes
Male,170,155,Sophmore,Yes,No,Yes,Yes,Yes,3.37,Front,3,Yes,390,1,1999,1,1,Verizon,Rarely,30,2,Mac,85,Yes,Business,2,7,2,0,999,15,0,10,Yes,7,84,0,3,No,4,No,0,2,Yes,No
Female,117,117,Senior,Yes,No,Yes,Yes,Yes,1.98,Back,6,No,108,20,1999,NA,5,ATT,Rarely,24,26,Windows,100,No,NonBusiness,7,1,1,30,20,40,100,5,No,6,47,0,0,No,3,NotVote,15,15,No,No
Female,135,125,Junior,Yes,Yes,Yes,No,Yes,3.96,Front,3,Yes,806,15,2007,3,6,Verizon,Rarely,25,28,Windows,85,Yes,NonBusiness,30,10,2,1,999,50,0,10,Yes,6,82,0,0,No,3,Yes,0,5,Yes,No
Female,120,125,Junior,No,No,No,No,No,2.92,Front,1,No,743,15,1992,2,5,Sprint,Occasionally,26,28,Windows,110,No,NonBusiness,70,2,4,6,271,15,0,50,No,7,35,5,1,Yes,4,Yes,11,2,Yes,Yes
Female,173,160,Sophmore,Yes,No,No,No,Yes,3.88,Front,4,Yes,188,14,2007,2,5,Verizon,Rarely,25,28,Mac,90,Yes,Business,50,4,1,2,1163,12,0,1,Yes,7,68,5,0,No,3,No,20,5,Yes,No
Female,104,100,Junior,Yes,No,No,Yes,Yes,2.9,Front,2,No,300,13,2004,NA,1,USCellar,Rarely,1,30,Windows,110,Yes,Business,5,0,1,25,-999,25,100,0,Yes,7,69,3,0,No,4,No,10,1,No,No
Male,200,190,Sophmore,Yes,Yes,Yes,No,Yes,3.69,Middle,2,Yes,300,14,2001,4,12,USCellar,Rarely,28,31,Windows,105,Yes,Business,10,7,4,0,2500,15,20,0,Yes,8,13,4,0,No,3,No,0,3,Yes,No
Female,200,150,Senior,No,No,No,No,Yes,2.75,Middle,2,Yes,136,16,2008,4,4,Sprint,Rarely,25,27,Windows,105,No,NonBusiness,4,3,5,21,1100,40,80,5,Yes,7,79,9,0,Yes,4,No,0,7,Yes,No
Female,125,120,Sophmore,No,Yes,No,No,No,3,Middle,1,Yes,668,18,1997,1,4,Verizon,Rarely,25,30,Windows,85,No,NonBusiness,50,7,0,0,1900,50,25,0,No,7,44,0,0,Yes,3,Yes,10,5,Yes,No
Female,120,120,Sophmore,No,No,Yes,Yes,Yes,3.91,Back,21,Yes,1033,15,2005,NA,NA,ATT,Occasionally,25,NA,Mac,92,Yes,NonBusiness,10,5,20,3,-999,10,0,0,Yes,7,27,2,7,Yes,4,No,0,5,Yes,No
Female,125,125,Sophmore,No,No,Yes,Yes,No,3.1,Middle,3,No,518,13,2005,0,2,USCellar,Rarely,26,28,Mac,105,Yes,Business,400,0,5,0,999,35,100,0,No,5,40,6,2,Yes,4,Yes,36,5,Yes,Yes
Male,175,175,Junior,Yes,No,Yes,No,No,2.9,Front,1,Yes,5000,16,1999,4,24,Verizon,Rarely,30,30,Mac,120,No,NonBusiness,500,4,2,0,1000,20,50,0,No,7,80,10,0,No,3,NotVote,27,10,Yes,No
Male,200,215,Sophmore,Yes,No,Yes,No,Yes,2.75,Middle,20,No,233,15,2003,2,5,Verizon,Rarely,30,30,Windows,110,Yes,Business,50,5,10,2,50000,5,0,0,Yes,8,91,2,0,Yes,4,No,0,2,Yes,Yes
Female,190,135,Junior,Yes,No,Yes,Yes,No,3.95,Middle,2,Yes,899,NA,2008,NA,NA,Sprint,Occasionally,25,30,Mac,95,Yes,Business,100,14,15,0,-999,20,10,10,Yes,5,98,3,0,Yes,3,Yes,0,7,Yes,No
Female,125,120,Sophmore,Yes,No,Yes,No,Yes,3.92,Middle,5,Yes,671,16,2001,1,2,Verizon,Rarely,23,25,Windows,100,No,NonBusiness,100,7,10,6,-999,16,5,0,No,6,39,0,0,No,2,No,10,10,Yes,Yes
Female,110,95,Sophmore,Yes,Yes,Yes,No,Yes,3.71,Middle,2,Yes,1385,16,2001,3,5,ATT,Occasionally,27,28,Windows,105,No,NonBusiness,50,8,0,0,110.78,18,0,5,Yes,4,32,0,0,Yes,3,NotVote,0,4,Yes,No
Female,136,125,Junior,Yes,No,No,No,Yes,2.3,Middle,3,No,475,16,2002,1,5,Verizon,Rarely,25,30,Windows,110,No,NonBusiness,80,1,0,0,999,75,0,5,Yes,7,47,5,2,No,3,Yes,15,20,No,No
Female,160,140,Sophmore,Yes,Yes,Yes,Yes,Yes,2.56,Middle,2,Yes,1335,16,2003,2,4,Verizon,Rarely,24,28,Mac,90,No,NonBusiness,50,6,1,0,245,40,0,0,Yes,6,19,9,2,No,4,No,0,5,Yes,Yes
Female,123,120,Junior,No,Yes,No,No,No,3.76,Middle,5,Yes,789,13,2002,1,3,USCellar,Rarely,26,28,Windows,85,No,Business,40,3,6,2,873,45,0,0,Yes,8,23,3,1,No,5,No,10,4,Yes,No
Female,113,110,Junior,Yes,No,Yes,Yes,Yes,3.42,Middle,1.5,Yes,97,19,1994,1,1,Sprint,Rarely,21,26,Mac,119,No,NonBusiness,20,1,3,5,1300,20,0,2,Yes,7,81,5,0,Yes,4,No,20,1,Yes,Yes
Male,160,175,Junior,No,No,No,No,Yes,3.12,Middle,2,Yes,5,18,1997,1,1,ATT,Occasionally,28,30,Windows,100,No,NonBusiness,50,1,0,3,1236.81,13,0,0,Yes,5,97,5,0,No,4,Yes,10,0,No,No
Female,125,125,Sophmore,No,No,Yes,Yes,Yes,3.7,Front,4,Yes,688,14,2003,1,3,Verizon,Rarely,26,28,Windows,110,No,NonBusiness,50,8,5,0,999,17,0,10,Yes,8,9,0,11,Yes,3,No,9,15,Yes,Yes
Male,165,172,Sophmore,No,No,Yes,No,Yes,3.71,Middle,1,No,220,15,2002,1,8,Verizon,Rarely,28,31,Windows,105,No,NonBusiness,20,8,7,3,1400,14,0,10,Yes,7,27,2,5,No,4,Yes,0,6,No,No
Female,130,120,Sophmore,Yes,No,Yes,Yes,No,3.5,Middle,2,Yes,800,14,1993,2,9,Verizon,Rarely,25,27,Windows,100,No,NonBusiness,250,5,3,0,150,45,0,0,Yes,6,85,10,1,No,4,NotVote,15,2,No,No
Female,154,135,Sophmore,Yes,No,No,Yes,Yes,2.67,Front,13,Yes,454,14,2005,1,3,Sprint,Occasionally,23,25,Windows,87,No,NonBusiness,50,1,1,0,999,0,40,56,Yes,6,64,1,45,No,4,Yes,20,15,No,No
Female,117,110,Sophmore,Yes,No,No,No,Yes,2,Middle,5,Yes,656,14,2007,NA,NA,ATT,Rarely,25,27,Windows,105,No,NonBusiness,30,5,3,0,433,10,0,9,No,6,26,12,1,Yes,5,Yes,11,5,Yes,Yes
Male,168,175,Junior,No,No,Yes,No,No,3.2,Middle,10,Yes,350,13,2000,2,8,Verizon,Rarely,27,28,Windows,105,No,NonBusiness,50,6,4,4,1500,12,0,30,Yes,6,63,5,1,No,4,NotVote,10,4,Yes,Yes
Male,195,185,Junior,Yes,Yes,Yes,No,Yes,2.93,Back,3,Yes,300,14,2002,3,10,ATT,Occasionally,24,26,Windows,110,No,NonBusiness,100,8,8,1,-999,16,0,0,Yes,8,31,8,0,Yes,4,NotVote,7,5,Yes,No
Male,190,205,Junior,No,Yes,Yes,Yes,Yes,2.8,Front,12,No,459,15,2004,3,12,Verizon,Rarely,26,28,Windows,104,Yes,Business,15,6,12,0,1700,12,25,0,Yes,8,70,1,0,Yes,3,No,8,4,Yes,No
Male,188,180,Junior,No,No,Yes,No,Yes,2.94,Middle,2,No,412,15,1998,1,7,ATT,Rarely,29,34,Windows,102,Yes,Business,5,8,7,1,-999,15,0,15,Yes,7,56,8,5,Yes,3,NotVote,0,5,Yes,Yes
Female,120,110,Sophmore,Yes,Yes,Yes,Yes,Yes,2.71,Middle,4,No,1050,15,2001,2,4,Sprint,Rarely,24,25,Windows,115,No,Business,200,10,3,1,200,40,0,50,No,7,32,5,4,No,4,No,0,5,Yes,No
Male,175,187.5,Junior,No,No,Yes,No,Yes,2.5,Front,2,Yes,250,17,2001,3,11,ATT,Rarely,27,30,Mac,100,No,Business,1,0,5,6,999,13,99,0,Yes,6.5,38,0,0,Yes,3,No,1,4,Yes,No
Male,175,160,Sophmore,Yes,No,Yes,No,Yes,2.92,Front,3,Yes,356,16,2002,1,9,Verizon,Rarely,30,31,Mac,95,No,NonBusiness,95,5,8,20,999,12,0,50,No,5,27,1,0,Yes,4,No,25,10,Yes,No
Female,145,130,Sophmore,No,Yes,Yes,Yes,Yes,3.3,Middle,3,Yes,837,13,2006,1,2,Verizon,Rarely,22,26,Windows,120,No,NonBusiness,50,7,4,0,402.27,20,0,10,Yes,8,54,2,1,Yes,4,No,10,6,Yes,No
Female,170,155,Sophmore,Yes,Yes,Yes,Yes,Yes,3.72,Middle,2,Yes,1156,19,1997,2,4,Verizon,Rarely,25,27,Mac,95,Yes,NonBusiness,75,5,10,0,-999,25,0,15,Yes,6.5,86,4,1,Yes,4,No,0,7,Yes,No
Female,125,120,Sophmore,No,No,Yes,No,Yes,3.79,Middle,1,Yes,735,14,2001,1,4,Verizon,Rarely,26,28,Windows,104,No,NonBusiness,80,5,17,0,628,25,15,10,Yes,7,97,4,1,Yes,4,Yes,0,8,Yes,No
Male,180,195,Junior,Yes,No,No,No,No,3.51,Front,2,Yes,400,15,2002,3,10,ATT,Rarely,25,29,Mac,100,Yes,Business,100,8,25,4,6000,16,5,0,No,5,21,4,0,Yes,3,No,25,5,Yes,Yes
Male,150,170,Junior,Yes,No,Yes,No,No,2.75,Front,6,Yes,300,6,1999,3,18,ATT,Often,24,26,Windows,115,No,Business,30,8,10,10,300,5,0,0,No,5,62,3,0,No,5,Yes,20,2,No,Yes
Female,125,125,Junior,Yes,Yes,Yes,Yes,Yes,2.82,Front,3,Yes,750,14,2006,3,4,Verizon,Occasionally,27,29,Windows,95,No,NonBusiness,15,7,3,4,200,100,0,3,Yes,7,20,6,3,Yes,4,NotVote,15,5,Yes,No
Male,210,190,Senior,No,No,No,No,Yes,3.5,Front,8,No,120,14,2000,1,10,Verizon,Occasionally,1,28,Windows,100,Yes,Business,5,7,0,15,10,0,100,10,No,7,92,2,6,Yes,3,Yes,20,2,No,Yes
Male,175,175,Senior,Yes,No,Yes,Yes,Yes,3.02,Middle,12,Yes,243,19,2004,NA,NA,ATT,Occasionally,25,28,Windows,94,Yes,Business,5,11,6,20,300,12,100,0,Yes,6,62,2,10,No,4,No,5,8,Yes,Yes
Male,180,170,Sophmore,No,No,Yes,No,Yes,2.92,Front,2,No,599,12,1998,2,9,ATT,Rarely,26,28,Windows,145,Yes,Business,50,2,3,2,412,25,100,50,Yes,8,8,10,12,Yes,3,Yes,15,9,Yes,Yes
Male,215,215,Sophmore,Yes,No,Yes,Yes,Yes,3.22,Back,3,Yes,1500,14,2000,3,12,ATT,Often,22,24,Mac,105,Yes,Business,400,8,4,3,999,15,40,0,Yes,8,24,0,0,No,4,NotVote,10,2,Yes,Yes
Female,123,115,Sophmore,No,Yes,No,No,Yes,3.47,Middle,3,No,900,16,2003,3,4,Verizon,Rarely,26,28,Windows,95,No,NonBusiness,50,7,3,0,2000,23,0,25,Yes,8,86,5,1,No,3,Yes,0,4,Yes,No
Male,155,165,Junior,Yes,No,No,No,Yes,2.4,Middle,3,No,522,12,1992,1,3,Verizon,Occasionally,25,35,Windows,130,Yes,NonBusiness,5,2,5,1,400,12,100,0,Yes,8,39,9,3,Yes,3,No,25,10,Yes,Yes
Female,160,150,Sophmore,Yes,Yes,No,Yes,Yes,3.56,Varies,2,Yes,800,17,2001,2,7,Verizon,Rarely,28,30,Windows,95,Yes,Business,50,6,0,0,9000,55,0,0,Yes,9,96,10,4,No,3,Yes,0,3,Yes,No
Male,174,174,Sophmore,No,No,Yes,No,Yes,3.69,Middle,2,Yes,600,13,2003,3,15,Verizon,Rarely,25,26,Windows,95,Yes,Business,15,8,30,5,2000,10,10,0,Yes,7,86,7,1,Yes,4,NotVote,0,5,Yes,No
Female,160,150,Sophmore,Yes,Yes,Yes,Yes,Yes,3.44,Front,5,Yes,1,14,1999,1,3,Verizon,Rarely,25,28,Mac,90,No,NonBusiness,50,10,2,0,600,40,0,5,Yes,7,59,5,1,Yes,3,Yes,10,4,Yes,No
Male,190,170,Sophmore,No,No,Yes,Yes,Yes,2.56,Back,3,Yes,408,14,2005,1,3,Verizon,Rarely,25,26,Windows,100,No,NonBusiness,200,3,2,0,49,12,0,10,No,6,96,0,1,No,3,Yes,19,15,Yes,Yes
Male,165,157,Junior,Yes,No,Yes,No,Yes,3,Middle,1,Yes,368,14,2003,3,8,USCellar,Rarely,25,29,Windows,102,Yes,Business,25,8,1,3,8.74,12,0,45,Yes,7,46,9,1,No,4,No,15,4,No,No
Female,145,130,Junior,No,No,No,No,Yes,4,Middle,2,Yes,458,15,2004,2,5,ATT,Occasionally,26,27,Windows,103,No,NonBusiness,35,5,4,0,2100,45,0,3,Yes,7,93,2,2,Yes,3,NotVote,0,3,Yes,No
Male,215,215,Junior,Yes,No,Yes,Yes,No,3.25,Middle,7,Yes,1000,18,2004,1,2,Sprint,Rarely,30,32,Windows,120,Yes,Business,100,3,15,0,999,10,100,20,Yes,5,88,2,0,No,5,Yes,0,4,Yes,No
Male,155,165,Junior,Yes,No,No,No,Yes,2.4,Middle,2,No,525,12,1992,1,3,Verizon,Occasionally,25,35,Windows,130,No,NonBusiness,10,2,5,2,400,12,100,0,Yes,7,39,10,2,Yes,3,No,25,10,Yes,Yes
Male,165,185,Senior,Yes,No,Yes,Yes,Yes,3.2,Middle,2,Yes,532,15,2008,NA,NA,ATT,Rarely,24,28,Windows,110,No,NonBusiness,200,5,4,0,-999,18,60,0,No,7,51,2,0,No,4,NotVote,0,20,Yes,No
Male,185,205,Freshman,No,No,Yes,Yes,No,3.4,Front,8,Yes,240,16,1994,NA,NA,Verizon,Rarely,24,28,Windows,103,No,NonBusiness,1000,9,6,0,3400,0,0,0,No,7,92,2,0,No,3,NotVote,0,25,Yes,No
Female,141,135,Junior,No,No,Yes,Yes,Yes,3.5,Back,4,No,258,13,2006,2,2,ATT,Rarely,1,1,Mac,100,Yes,NonBusiness,15,4,2,10,999,75,100,5,No,7,26,0,2,Yes,5,Yes,36,6,No,No
Male,180,185,Junior,Yes,No,Yes,Yes,Yes,3.43,Front,2,Yes,300,16,2005,NA,NA,Verizon,Rarely,23,28,Mac,85,Yes,Business,2,9,1,15,-999,30,0,5,Yes,6,0,1,1,No,4,No,0,5,No,No
Female,125,115,Junior,No,No,Yes,Yes,No,3.25,Middle,6,Yes,432,15,2001,1,1,ATT,Rarely,27,30,Windows,115,Yes,NonBusiness,659,7,5,0,435,10,40,9,Yes,5,26,0,2,Yes,4,Yes,7,4,Yes,No
Male,190,180,Freshman,No,No,Yes,No,No,4,Front,3,Yes,115,15,2003,NA,NA,ATT,Rarely,25,30,Windows,100,No,NonBusiness,100,2,10,0,-999,12,0,100,Yes,7,58,2,0,Yes,4,NotVote,0,15,Yes,No
Female,130,130,Sophmore,No,No,No,Yes,Yes,3.97,Front,5,Yes,400,18,2009,NA,NA,Verizon,Rarely,25,26,Mac,80,No,NonBusiness,40,5,15,0,-999,20,0,0,Yes,7,47,0,0,No,4,NotVote,12,5,Yes,No
Female,130,130,Junior,No,No,Yes,Yes,Yes,3.55,Front,3,Yes,350,16,2003,NA,NA,Verizon,Rarely,NA,24,Mac,90,Yes,NonBusiness,15,4,4,20,700,30,0,0,No,7,97,1,3,No,3,No,0,10,No,No
Female,140,125,Senior,No,No,Yes,No,Yes,2.58,Middle,5,Yes,340,17,2000,5,3,Verizon,Rarely,26,2,Windows,110,Yes,Business,150,3,6,15,300,60,100,20,Yes,6,70,0,8,Yes,3,Yes,20,4,Yes,Yes
Female,130,115,Junior,Yes,No,Yes,No,No,3.48,Back,12,Yes,100,15,2003,1,5,ATT,Rarely,23,28,Mac,120,No,NonBusiness,20,5,14,8,-999,20,95,100,No,6,54,1,20,No,3,Yes,0,10,Yes,Yes
Female,124,115,Sophmore,Yes,Yes,Yes,Yes,No,2.35,Middle,2,No,800,13,1997,1,3,USCellar,Rarely,23,29,Windows,95,No,NonBusiness,25,9,2,5,100,60,100,5,Yes,8,34,3,0,No,4,NotVote,15,2,No,No
Female,135,125,Junior,Yes,No,Yes,Yes,Yes,3.68,Back,2,Yes,268,18,2003,1,4,Verizon,Occasionally,26,30,Windows,120,No,Business,30,4,3,6,25,30,0,10,Yes,6.5,60,0,1,No,4,No,4,10,No,Yes
Female,182,175,Senior,Yes,No,No,Yes,No,2.03,Back,5,No,300,NA,2001,NA,NA,Sprint,Rarely,NA,NA,Windows,114,No,NonBusiness,15,0,5,7,-999,0,0,0,No,6,12,0,0,No,4,NotVote,15,0,Yes,No
Male,198,175,Junior,Yes,No,Yes,No,Yes,2.87,Middle,6,Yes,381,17,2001,NA,NA,ATT,Rarely,22,25,Windows,95,No,NonBusiness,4,8,1,2,162,10,0,0,No,7,69,1,1,Yes,3,No,12,5,Yes,Yes
Male,150,145,Sophmore,Yes,No,Yes,Yes,Yes,3.98,Back,13,Yes,203,18,2005,NA,NA,Verizon,Rarely,23,25,Mac,80,No,NonBusiness,100,8,3,30,-999,10,100,30,Yes,7,82,0,0,No,4,No,14,10,Yes,No
Female,150,140,Sophmore,Yes,No,Yes,Yes,No,3.7,Front,2,Yes,427,17,1994,1,3,Verizon,Rarely,24,27,Windows,85,No,NonBusiness,20,8,3,2,-999,15,0,10,Yes,8,97,3,3,Yes,3,Yes,12,3,Yes,No
Male,178,165,Junior,Yes,No,Yes,No,Yes,3.51,Back,19,No,512,16,2004,2,4,Verizon,Rarely,28,30,Windows,120,No,NonBusiness,250,8,3,0,78.46,0,15,10,No,6,89,0,1,No,4,No,0,3,Yes,No
Female,108,100,Junior,No,Yes,Yes,No,Yes,3.84,Varies,3,Yes,450,1,2006,2,3,Sprint,Rarely,25,28,Mac,95,No,NonBusiness,20,6,1,0,250,60,0,3,Yes,5,53,3,0,No,3,No,15,10,Yes,No
Female,150,130,Junior,Yes,Yes,Yes,Yes,Yes,3.6,Middle,7,Yes,968,13,2003,0,4,ATT,Occasionally,25,28,Windows,92,No,NonBusiness,20,3,4,0,100,15,0,3,No,7,45,1,2,No,4,NotVote,3,10,Yes,No
Female,130,128,Senior,Yes,Yes,No,No,Yes,3.1,Middle,2,Yes,1251,14,1998,3,3,ATT,Rarely,25,29,Windows,110,No,NonBusiness,20,1,3,0,150,60,0,2,Yes,8,92,12,6,No,4,NotVote,0,3,Yes,No
Female,130,125,Junior,Yes,No,No,Yes,Yes,3.5,Middle,15,Yes,1300,12,2002,1,3,Verizon,Rarely,25,28,Mac,90,No,NonBusiness,200,8,10,2,-999,20,50,30,Yes,8,74,1,3,No,4,No,15,20,Yes,Yes
Female,145,130,Sophmore,No,Yes,No,Yes,No,3.5,Front,4,Yes,812,16,2008,NA,1,ATT,Occasionally,27,28,Windows,90,No,NonBusiness,150,10,4,0,-999,15,0,10,Yes,7,81,0,2,Yes,4,No,0,1,No,No
Female,154,150,Junior,Yes,No,Yes,No,Yes,3.6,Middle,5,Yes,456,18,2005,2,6,Verizon,Rarely,28,2,Windows,110,No,NonBusiness,150,9,7,0,800,30,0,30,Yes,5,24,0,0,Yes,2,NotVote,0,8,Yes,Yes
Female,105,100,Junior,Yes,No,Yes,No,Yes,3,Middle,20,Yes,1,13,1998,1,3,ATT,Rarely,25,27,Windows,90,Yes,Business,30,4,7,1,999,25,0,10,Yes,6,71,6,2,No,4,No,0,8,No,Yes
Female,120,110,Junior,Yes,No,Yes,No,Yes,3.35,Front,2,Yes,527,17,1998,2,3,Verizon,Rarely,25,29,Mac,85,Yes,Business,20,8,10,5,959,20,0,20,Yes,7,3,4,0,Yes,3,NotVote,25,15,No,No
