CollegeGPA,Gender,HSGPA,ACT,APHours,JobHours,School,LanguagesSpoken,HSHonorsClasses,SmokeInHS,PayCollegeNoLoans,ClubsInHS,JobInHS,Churchgoer,Height,Weight,Family,Pet
3.37,Male,4,26,3,4,Private,2,1,Yes,Yes,4,Yes,No,72,143.6,Middle Child,Cat
3.3,Male,3.23,23,6,0,Public,2,1,No,No,2,No,No,74,200,Only Child,Cat
3.28,Male,3.98,22,0,0,Private,1,2,No,Yes,5,Yes,Yes,69,190,Middle Child,Dog
3.74,Female,3.79,25,0,0,Private,1,2,No,Yes,3,No,No,67,139,Youngest Child,Neither
3.55,Female,3.75,27,0,0,Private,1,2,No,No,5,No,Yes,62,124,Oldest Child,Dog
2.89,Female,3.4,26,3,0,Private,1,2,No,Yes,3,Yes,No,64,125,Youngest Child,Dog
3.4,Male,3.9,27,6,0,Private,1,2,Yes,Yes,5,Yes,Yes,71,155,Youngest Child,Dog
2.78,Female,3.6,24,8,0,Private,1,2,No,Yes,1,No,Yes,59,112,Middle Child,Both
3.34,Male,3.8,29,12,0,Private,1,2,No,No,4,No,No,70,200,Oldest Child,Dog
3.65,Male,4,32,6,4,Private,1,2,No,Yes,4,Yes,Yes,70,200,Oldest Child,Both
2.73,Female,3.8,25,0,0,Public,1,2,No,Yes,3,No,Yes,68,135,Oldest Child,Dog
3.47,Male,3.8,28,0,0,Public,1,2,No,Yes,4,No,No,72,155,Oldest Child,Dog
2.76,Female,3.7,20,3,0,Public,1,2,No,No,7,Yes,Yes,65,140,Youngest Child,Dog
3.2,Male,3.1,24,6,0,Public,1,2,No,Yes,4,Yes,No,70,240,Middle Child,Dog
3.25,Male,3.5,25,14,0,Public,1,2,No,No,4,No,Yes,75,180,Youngest Child,Cat
2.5,Male,3.5,19,2,10,Public,1,2,No,Yes,6,Yes,No,56,166,Only Child,Dog
3.33,Female,3.8,24,0,12,Public,1,2,No,Yes,3,No,No,64,135,Middle Child,Neither
3.25,Female,3.7,25,6,12,Public,1,2,No,Yes,2,Yes,No,66,125,Youngest Child,Dog
3.21,Male,3.6,26,0,15,Public,1,2,No,Yes,2,Yes,No,79,190,Youngest Child,Dog
2.77,Female,4,23,12,17,Public,1,2,No,Yes,3,Yes,No,63,120,Youngest Child,Dog
3.27,Female,3.8,25,12,23,Public,1,2,No,No,3,No,No,64,134,Youngest Child,Neither
3,Female,4.9,23,0,25,Public,1,2,No,No,5,Yes,No,62,141,Only Child,Dog
3.2,Female,3.8,27,0,0,Private,2,2,No,Yes,5,No,Yes,62,165,Oldest Child,Dog
2.45,Female,3.75,22,0,8,Public,2,2,No,Yes,4,Yes,No,68,130,Oldest Child,Dog
3.11,Female,3.97,24,0,0,Private,1,3,No,Yes,7,Yes,Yes,63,200,Oldest Child,Neither
3.57,Male,3.86,27,0,0,Private,1,3,No,Yes,0,No,No,70,190,Only Child,Dog
2.74,Male,3.99,30,0,0,Private,1,3,No,No,3,Yes,Yes,69,160,Only Child,Dog
2.35,Female,3.6,23,3,25,Private,1,3,No,No,5,Yes,Yes,66,180,Oldest Child,Dog
3.01,Female,3.8,25,0,30,Private,1,3,No,Yes,2,No,Yes,67,139,Oldest Child,Dog
3.29,Female,3.75,25,0,0,Public,1,3,No,Yes,3,Yes,Yes,70,170,Youngest Child,Dog
3.5,Male,3.3,28,0,0,Public,1,3,No,No,0,No,Yes,66,130,Middle Child,Dog
3.34,Female,3.3,24,3,0,Public,1,3,No,No,1,Yes,No,62,115,Oldest Child,Cat
3.2,Male,3.6,28,4,0,Public,1,3,No,Yes,3,No,No,70,280,Youngest Child,Dog
3,Male,3.6,28,11,0,Public,1,3,Yes,No,1,Yes,No,69,155,Oldest Child,Dog
3.41,Female,3.63,17,12,0,Public,1,3,No,No,2,No,No,65,178,Oldest Child,Dog
3.83,Female,3.98,24,12,0,Public,1,3,No,No,3,Yes,Yes,66,118,Middle Child,Dog
3.33,Female,3.2,21,15,0,Public,1,3,Yes,Yes,2,No,No,65,153,Youngest Child,Dog
2.95,Female,3.2,26,17,0,Public,1,3,No,Yes,3,No,No,67,153,Oldest Child,Dog
3.71,Female,3.6,22,6,4,Public,1,3,No,No,4,No,No,64,113,Youngest Child,Dog
3.25,Male,3.46,28,0,0,Private,2,3,No,Yes,6,No,No,72,150,Only Child,Dog
3.78,Female,4.1,27,2,15,Private,2,3,No,No,3,Yes,Yes,63,130,Middle Child,Both
3.57,Female,4.1,30,3,0,Public,2,3,Yes,Yes,5,Yes,No,65,130,Only Child,Neither
3.42,Female,3.89,23,0,1,Public,2,3,No,No,6,No,Yes,67,150,Youngest Child,Cat
4,Male,3.5,30,6,12,Public,2,3,No,Yes,3,Yes,No,72,155,Oldest Child,Dog
3.21,Male,3.67,25,0,15,Public,2,3,No,No,7,No,Yes,72,165,Middle Child,Dog
3.8,Female,3.4,24,6,15,Public,2,3,No,Yes,5,Yes,No,64,124,Middle Child,Dog
3.65,Female,3.65,27,18,24,Public,2,3,No,No,3,Yes,No,65,155,Oldest Child,Dog
3.9,Female,4.08,28,0,0,Private,3,3,No,Yes,1,No,No,62,140,Youngest Child,Neither
4,Female,3.98,25,3,0,Public,3,3,No,Yes,4,No,No,62,100,Oldest Child,Both
2.34,Male,3.3,25,3,11,Public,3,3,No,No,0,No,No,70,140,Youngest Child,Both
3.79,Male,3.82,21,0,0,Private,1,4,No,Yes,3,Yes,No,68,175,Middle Child,Dog
3.62,Female,3.7,26,0,0,Private,1,4,No,Yes,3,No,Yes,63,110,Middle Child,Dog
3.34,Female,3.6,27,0,0,Private,1,4,No,No,5,No,Yes,66,147,Oldest Child,Dog
3.37,Female,4.19,28,0,0,Private,1,4,No,Yes,18,No,Yes,68,145,Youngest Child,Dog
3.38,Male,3.6,29,12,0,Private,1,4,No,Yes,2,No,Yes,73,225,Middle Child,Dog
3,Male,3,23,12,18,Private,1,4,No,No,2,No,Yes,60,180,Only Child,Neither
3.4,Male,3.3,29,6,35,Private,1,4,No,Yes,3,Yes,No,67,150,Middle Child,Dog
2.84,Male,3.5,24,0,0,Public,1,4,No,No,0,Yes,No,64,150,Oldest Child,Dog
3.3,Male,3.95,27,0,0,Public,1,4,No,Yes,3,No,Yes,69,165,Oldest Child,Both
3.65,Male,3.95,29,3,0,Public,1,4,No,Yes,1,No,No,75,160,Oldest Child,Both
3.95,Female,3.95,25,6,0,Public,1,4,No,No,5,Yes,Yes,64,123,Oldest Child,Neither
3.96,Male,3.98,27,6,0,Public,1,4,No,No,3,No,Yes,74,280,Youngest Child,Neither
3.97,Female,4,28,9,0,Public,1,4,No,No,8,No,Yes,67,130,Oldest Child,Neither
3.77,Male,4,28,12,0,Public,1,4,No,No,6,No,No,71,160,Only Child,Both
3.42,Female,3.79,28,0,4,Public,1,4,No,No,5,Yes,No,67,159,Oldest Child,Dog
2.3,Female,3.3,22,30,10,Public,1,4,Yes,Yes,4,Yes,No,69,136,Youngest Child,Dog
3.87,Female,4.12,23,3,13,Public,1,4,No,Yes,5,Yes,Yes,66,139,Youngest Child,Dog
3,Male,3.55,23,3,15,Public,1,4,No,No,2,Yes,No,71,170,Middle Child,Neither
3.31,Female,3.34,29,6,15,Public,1,4,No,No,5,No,Yes,66,125,Oldest Child,Dog
3.78,Male,4,33,9,15,Public,1,4,No,Yes,4,Yes,No,73,180,Youngest Child,Dog
3.66,Female,3.5,26,0,20,Public,1,4,Yes,Yes,1,Yes,No,65,132,Youngest Child,Cat
3.61,Male,4.23,31,3,20,Public,1,4,No,Yes,5,Yes,No,74,220,Youngest Child,Dog
3.85,Male,3.7,29,10,0,Private,2,4,No,No,5,No,No,73,184,Middle Child,Cat
3.95,Female,3.95,28,3,17,Public,2,4,No,Yes,7,No,Yes,63,108,Youngest Child,Neither
3.06,Male,3.89,25,0,28,Public,2,4,No,No,4,Yes,Yes,68,151,Middle Child,Dog
2.6,Male,3.75,23,0,0,Private,1,5,No,Yes,2,No,No,72,215,Middle Child,Dog
3.5,Female,4.2,26,0,0,Private,1,5,No,Yes,7,No,Yes,66,135,Youngest Child,Neither
3.78,Male,3.5,28,0,0,Private,1,5,No,No,5,No,Yes,72,165,Oldest Child,Neither
3.34,Female,3.75,28,0,0,Private,1,5,No,Yes,7,No,Yes,66,125,Youngest Child,Dog
3.74,Female,4,26,3,0,Private,1,5,No,Yes,4,No,No,66,135,Oldest Child,Neither
3.02,Male,4,29,3,0,Private,1,5,No,No,5,No,Yes,75,185,Middle Child,Dog
3.96,Female,3.57,29,0,7,Private,1,5,No,Yes,3,Yes,Yes,66,172,Oldest Child,Dog
3.03,Female,3.67,24,0,20,Private,1,5,No,No,7,Yes,Yes,65,140,Only Child,Dog
3.61,Female,4.2,26,0,20,Private,1,5,No,Yes,5,No,Yes,63,130,Oldest Child,Neither
2.11,Male,3.3,26,0,0,Public,1,5,No,No,10,No,No,75,210,Only Child,Neither
3.2,Female,3.87,27,0,0,Public,1,5,No,Yes,7,Yes,No,63,127,Oldest Child,Neither
4,Female,4.13,28,0,0,Public,1,5,No,Yes,7,No,Yes,62,125,Oldest Child,Both
3,Male,3.33,30,0,0,Public,1,5,No,No,2,Yes,No,73,150,Youngest Child,Dog
2.85,Male,3.2,25,3,0,Public,1,5,No,No,4,Yes,No,73,190,Middle Child,Dog
2.16,Male,3.4,26,10,0,Public,1,5,No,Yes,5,Yes,No,70,130,Oldest Child,Dog
3.51,Female,3.9,28,12,0,Public,1,5,No,Yes,8,No,Yes,64,130,Youngest Child,Dog
3.57,Female,3.8,32,12,0,Public,1,5,No,Yes,6,No,Yes,67,132,Oldest Child,Dog
2.67,Male,3.75,24,21,0,Public,1,5,Yes,Yes,3,Yes,Yes,71,145,Youngest Child,Dog
3.8,Female,3.75,24,0,8,Public,1,5,No,Yes,5,No,Yes,60,130,Only Child,Dog
2.75,Female,3.85,25,0,10,Public,1,5,No,Yes,3,No,Yes,67,125,Oldest Child,Dog
3.6,Female,3.98,31,0,10,Public,1,5,No,Yes,3,Yes,No,79,105,Oldest Child,Neither
3.04,Female,3.98,23,12,10,Public,1,5,No,Yes,4,Yes,Yes,69,150,Youngest Child,Dog
4,Female,4,33,23,10,Public,1,5,Yes,Yes,10,No,No,70,253,Only Child,Dog
3.7,Male,4.2,26,0,35,Public,1,5,No,No,4,Yes,Yes,71,149,Oldest Child,Dog
3.64,Female,3.8,26,0,12,Private,2,5,No,Yes,4,Yes,No,66,140,Youngest Child,Neither
4,Male,3.01,26,0,35,Private,2,5,No,Yes,1,No,No,73,232.5,Oldest Child,Dog
3.75,Female,3.76,29,9,12,Public,2,5,No,No,10,No,Yes,66,135,Youngest Child,Dog
2.53,Female,3.5,21,8,20,Public,2,5,Yes,Yes,4,Yes,No,65,145,Middle Child,Dog
3.98,Female,3.45,31,6,25,Public,2,5,No,Yes,2,Yes,No,72,130,Youngest Child,Both
3.72,Male,4.16,29,0,0,Private,1,6,No,Yes,3,No,No,74,155,Youngest Child,Dog
3.75,Male,3.5,28,4,0,Private,1,6,No,Yes,3,No,No,73,200,Youngest Child,Dog
3.43,Female,3.8,23,6,0,Private,1,6,No,No,5,Yes,Yes,66,125,Only Child,Neither
3,Female,3.8,24,0,0,Public,1,6,No,Yes,5,Yes,No,68,135,Middle Child,Dog
3.42,Female,3.89,24,0,0,Public,1,6,No,No,3,Yes,Yes,64,115,Oldest Child,Dog
3.78,Female,4,29,0,0,Public,1,6,No,No,5,No,No,64,145,Middle Child,Neither
2.77,Male,2.7,26,2,0,Public,1,6,No,Yes,3,No,Yes,70,174,Oldest Child,Dog
3.81,Female,3.82,30,6,0,Public,1,6,No,No,2,No,Yes,62,111,Middle Child,Cat
3,Male,3,25,9,0,Public,1,6,Yes,Yes,4,Yes,Yes,74,190,Middle Child,Dog
3.04,Male,3.02,26,10,0,Public,1,6,No,Yes,6,Yes,No,70,180,Middle Child,Neither
3.44,Female,3.95,21,12,0,Public,1,6,No,No,5,No,No,62,135,Youngest Child,Dog
4,Male,4,29,12,0,Public,1,6,No,Yes,5,No,Yes,70,145,Youngest Child,Both
3.85,Female,3.7,28,0,3,Public,1,6,No,No,6,Yes,No,70,170,Youngest Child,Dog
3.06,Female,3.4,27,9,6,Public,1,6,No,No,4,Yes,No,64,180,Youngest Child,Cat
3.71,Male,3.83,26,6,10,Public,1,6,Yes,Yes,2,No,No,72,205,Youngest Child,Dog
2.77,Male,3.85,26,15,15,Public,1,6,No,No,7,No,Yes,75,237,Middle Child,Dog
3.25,Female,3.4,22,0,20,Public,1,6,No,No,12,Yes,No,65,135,Oldest Child,Dog
2.68,Female,3.4,22,4,20,Public,1,6,No,No,2,No,Yes,68,123,Youngest Child,Dog
3,Female,4.1,29,9,20,Public,1,6,Yes,No,2,Yes,No,61,102,Youngest Child,Neither
3.46,Female,3.89,20,0,25,Public,1,6,No,Yes,6,Yes,Yes,71,178,Youngest Child,Neither
3.4,Female,3.8,21,18,25,Public,1,6,No,No,3,Yes,Yes,63,122,Youngest Child,Dog
3.45,Female,3.97,27,18,25,Public,1,6,No,Yes,6,No,No,64,125,Oldest Child,Dog
3.8,Female,3.85,30,3,30,Public,1,6,No,Yes,5,Yes,Yes,62,100,Middle Child,Dog
3.2,Female,3.8,29,3,35,Public,1,6,No,Yes,4,Yes,No,64,130,Youngest Child,Dog
2.79,Female,3.79,23,0,40,Public,1,6,No,No,4,No,No,66,128,Oldest Child,Dog
4,Female,3.95,28,6,0,Private,2,6,No,Yes,12,Yes,Yes,63,120,Middle Child,Dog
2.9,Female,3.88,30,6,0,Private,2,6,No,Yes,7,No,Yes,66,170,Only Child,Dog
3.49,Male,4,26,27,0,Private,2,6,No,Yes,4,Yes,Yes,69,145,Oldest Child,Dog
3.09,Female,3.85,26,0,0,Public,2,6,No,No,4,No,Yes,67,220,Youngest Child,Dog
2.99,Female,3.78,28,6,0,Public,2,6,No,Yes,6,No,Yes,69,164,Oldest Child,Dog
3.66,Female,3.96,23,9,0,Public,2,6,No,Yes,9,No,No,63,115,Youngest Child,Dog
3.28,Male,3.8,30,9,0,Public,2,6,No,No,4,No,Yes,69,155,Only Child,Dog
3.65,Female,3.5,25,0,20,Public,2,6,No,No,3,Yes,Yes,63,115,Oldest Child,Neither
3.98,Female,4,31,12,25,Public,2,6,No,Yes,4,No,Yes,68.5,118,Oldest Child,Dog
3.45,Male,3.75,24,0,10,Public,3,6,No,Yes,3,No,Yes,71,135,Oldest Child,Neither
3.66,Male,3.8,29,8,15,Private,1,7,Yes,Yes,4,No,Yes,70,158,Youngest Child,Dog
2.95,Female,3.5,22,0,0,Public,1,7,No,Yes,5,No,No,65,140,Oldest Child,Dog
3.5,Female,3.92,27,0,0,Public,1,7,No,Yes,3,Yes,Yes,64,135,Middle Child,Dog
3.16,Male,4.05,29,3,0,Public,1,7,No,Yes,3,Yes,No,70,168,Youngest Child,Neither
3.63,Female,3.6,28,4,0,Public,1,7,No,Yes,7,No,No,69,137,Youngest Child,Neither
3.13,Male,3.95,25,6,0,Public,1,7,No,Yes,3,Yes,Yes,76,155,Oldest Child,Dog
3.15,Male,3.8,25,15,0,Public,1,7,No,No,4,Yes,No,70,135,Youngest Child,Dog
3.88,Male,3.92,28,0,15,Public,1,7,Yes,Yes,2,No,No,68,155,Oldest Child,Dog
2.73,Female,3.88,29,0,15,Public,1,7,No,No,9,No,No,70,115,Oldest Child,Cat
3.56,Male,3.96,20,0,0,Public,2,7,No,Yes,5,No,No,70,132,Only Child,Both
3.78,Female,3.85,29,15,0,Public,2,7,No,Yes,2,No,Yes,63,115,Youngest Child,Dog
3,Male,4,24,3,10,Public,2,7,No,No,1,Yes,No,75,160,Middle Child,Dog
3.94,Female,3.92,31,12,16,Public,2,7,No,Yes,5,No,Yes,65,131,Oldest Child,Cat
3.44,Female,3.8,27,0,27,Public,2,7,Yes,Yes,2,Yes,No,59,86,Oldest Child,Dog
3.97,Female,3.99,29,6,0,Private,1,8,No,Yes,10,Yes,No,70.5,180,Oldest Child,Both
3.17,Female,4.43,32,19,6,Private,1,8,No,Yes,7,No,No,70,147,Youngest Child,Dog
2.86,Male,3.9,23,0,0,Public,1,8,No,No,6,No,Yes,66,150,Middle Child,Neither
2.97,Male,3.67,25,0,0,Public,1,8,No,No,4,Yes,Yes,74,165,Oldest Child,Dog
3.45,Male,3.82,25,0,0,Public,1,8,No,Yes,6,Yes,Yes,69,170,Youngest Child,Dog
3.22,Female,3.76,26,0,0,Public,1,8,No,Yes,5,Yes,Yes,66,132,Middle Child,Dog
3.29,Female,3.76,29,0,0,Public,1,8,Yes,No,1,No,No,66,170,Oldest Child,Neither
3.52,Female,3.91,24,6,0,Public,1,8,Yes,Yes,5,No,No,63,145,Youngest Child,Neither
3.44,Female,4,27,6,0,Public,1,8,No,No,9,No,No,61,125,Middle Child,Cat
3.75,Female,3.8,26,8,0,Public,1,8,No,Yes,2,Yes,No,59,100,Youngest Child,Dog
3.7,Female,3.9,22,9,0,Public,1,8,No,No,5,Yes,No,65,135,Youngest Child,Dog
3.62,Male,4.32,25,9,0,Public,1,8,No,Yes,4,No,Yes,70,160,Oldest Child,Neither
3.52,Female,4,25,0,1,Public,1,8,No,Yes,2,No,Yes,60,109,Youngest Child,Cat
3.33,Male,3.5,29,16,4,Public,1,8,No,Yes,3,Yes,Yes,73,182,Youngest Child,Dog
3.91,Female,4,29,7,5,Public,1,8,No,Yes,7,Yes,Yes,62.5,125,Youngest Child,Dog
3.64,Female,3.9,29,21,5.5,Public,1,8,No,No,2,No,No,60,103,Oldest Child,Neither
3.21,Female,3.75,29,3,10,Public,1,8,No,Yes,4,Yes,Yes,65,135,Oldest Child,Dog
2.9,Male,3.98,30,16,16,Public,1,8,No,Yes,9,Yes,Yes,73,198,Oldest Child,Dog
3.45,Female,4.3,30,8,17,Public,1,8,No,Yes,5,Yes,Yes,63,140,Youngest Child,Cat
3.94,Male,3.95,29,3,18,Public,1,8,No,Yes,6,Yes,Yes,69,150,Youngest Child,Dog
3.33,Female,3.8,27,0,20,Public,1,8,No,No,7,Yes,No,63,100,Only Child,Dog
3.11,Male,3.94,29,6,24,Public,1,8,No,No,8,Yes,Yes,73,250,Oldest Child,Dog
3.63,Female,3.5,24,12,25,Public,1,8,No,No,3,Yes,Yes,65,120,Youngest Child,Dog
3.4,Female,4,33,9,30,Private,2,8,Yes,No,5,Yes,No,64,113,Oldest Child,Dog
3.83,Male,3.9,27,3,0,Public,2,8,No,Yes,3,No,Yes,72,165,Youngest Child,Dog
3.15,Female,4.35,25,20,15,Public,3,8,No,Yes,6,No,No,68,145,Oldest Child,Both
3.99,Female,4,29,3,0,Private,1,9,No,Yes,3,No,Yes,62,114,Youngest Child,Cat
3.6,Female,3.75,25,0,10,Private,1,9,No,No,5,Yes,No,65,170,Youngest Child,Dog
2.5,Male,3.78,25,3,0,Public,1,9,No,No,3,No,No,73,140,Oldest Child,Neither
3.71,Female,3.85,27,3,8,Public,1,9,No,Yes,6,Yes,Yes,67,120,Youngest Child,Cat
3,Female,3.65,27,0,12,Public,1,9,No,No,4,No,No,69,135,Youngest Child,Dog
3.9,Male,3.8,28,3,14,Public,1,9,No,Yes,3,No,No,72,150,Youngest Child,Dog
2.8,Female,3.75,23,0,23,Public,1,9,No,No,8,No,No,65,210,Oldest Child,Dog
2.5,Male,3.65,24,0,0,Private,1,10,No,No,5,No,No,70,185,Oldest Child,Dog
3.1,Male,4,28,18,35,Private,1,10,No,No,6,No,Yes,72,176,Middle Child,Dog
2.44,Female,3.67,24,0,0,Public,1,10,No,No,6,No,No,61,165,Youngest Child,Both
3.56,Male,3.75,28,0,0,Public,1,10,No,Yes,2,Yes,Yes,72,175,Youngest Child,Dog
3,Female,5,25,3,0,Public,1,10,No,Yes,5,No,No,68,118,Youngest Child,Dog
3,Female,3.78,26,3,0,Public,1,10,No,Yes,5,No,Yes,66,140,Youngest Child,Both
2.7,Female,3.94,26,6,0,Public,1,10,No,No,6,Yes,No,64,130,Oldest Child,Neither
3.73,Male,4.04,31,12,0,Public,1,10,No,Yes,4,No,Yes,71,170,Oldest Child,Dog
3.14,Male,3.8,28,23,0,Public,1,10,No,Yes,3,No,No,74,180,Middle Child,Dog
3.9,Female,3.97,30,6,9,Public,1,10,No,No,4,Yes,Yes,66,135,Youngest Child,Neither
3.59,Male,3.84,26,0,10,Public,1,10,No,No,4,Yes,Yes,71,175,Youngest Child,Dog
3.25,Female,3.8,28,10,12,Public,1,10,No,No,2,Yes,Yes,64,115,Youngest Child,Neither
2.68,Female,3.75,26,0,13,Public,1,10,No,No,4,No,No,68,145,Only Child,Dog
3.2,Female,3.9,25,0,20,Public,1,10,No,No,4,Yes,No,67,160,Youngest Child,Neither
3.12,Female,3.68,25,0,25,Public,1,10,No,No,10,Yes,Yes,60,130,Youngest Child,Dog
3.33,Female,3.96,24,6,30,Public,1,10,No,No,5,Yes,No,72,200,Oldest Child,Neither
3.94,Male,4,30,6,30,Public,1,10,No,Yes,2,Yes,No,72,205,Oldest Child,Neither
2.98,Female,3.96,29,12,30,Public,1,10,No,No,4,Yes,Yes,68,190,Middle Child,Neither
3,Male,3.7,24,0,0,Public,2,10,No,Yes,5,Yes,Yes,70,140,Youngest Child,Dog
3.67,Female,3.8,29,0,0,Public,2,10,No,No,6,No,Yes,69,135,Youngest Child,Dog
3,Male,3.44,32,6,12,Public,2,10,No,No,3,No,No,73,140,Oldest Child,Dog
2.95,Female,4,28,6,15,Public,2,10,No,No,6,Yes,No,61,102,Oldest Child,Dog
3.31,Female,3.75,31,3,20,Public,2,10,No,Yes,2,Yes,Yes,65,143,Middle Child,Dog
3.42,Female,3.85,24,6,17,Private,1,11,No,Yes,3,Yes,No,61,130,Youngest Child,Neither
3.35,Female,4.05,28,0,0,Public,1,11,No,Yes,2,Yes,No,76,195,Middle Child,Dog
3.2,Female,3.7,27,17,0,Public,1,11,No,Yes,8,No,Yes,67,180,Only Child,Neither
3.65,Female,4,27,3,6,Public,1,11,No,No,2,No,No,66,127,Only Child,Dog
3.6,Female,3.9,25,6,0,Private,1,12,No,Yes,6,No,No,64,120,Oldest Child,Dog
4,Female,4.26,27,6,0,Private,1,12,No,Yes,4,No,No,65,148,Oldest Child,Dog
3.92,Female,3.85,30,14,2,Private,1,12,No,No,8,Yes,Yes,69,175,Youngest Child,Dog
3.8,Female,4.2,27,0,3,Private,1,12,No,Yes,4,No,Yes,67.5,140,Only Child,Neither
3.25,Male,3.8,24,12,12,Private,1,12,No,No,2,No,Yes,70,145,Youngest Child,Dog
2.5,Male,3.85,28,0,0,Public,1,12,No,No,4,No,No,70,155,Oldest Child,Dog
3,Male,3.6,24,3,0,Public,1,12,No,No,7,Yes,Yes,72,145,Oldest Child,Cat
3.38,Male,3.2,25,3,0,Public,1,12,No,No,8,No,No,73,178,Middle Child,Neither
3.85,Female,3.6,27,3,0,Public,1,12,No,Yes,5,Yes,Yes,69,150,Youngest Child,Dog
3.69,Male,4.2,23,6,0,Public,1,12,No,Yes,5,No,Yes,71,164,Youngest Child,Both
3.54,Female,3.69,30,6,0,Public,1,12,No,No,7,No,No,62,114,Middle Child,Cat
2.3,Male,3.26,31,6,0,Public,1,12,No,Yes,3,Yes,No,72,175,Oldest Child,Dog
3.4,Female,3.8,26,9,0,Public,1,12,No,Yes,3,No,No,68,110,Oldest Child,Both
4,Female,4,31,12,0,Public,1,12,No,No,9,No,Yes,63.5,115,Youngest Child,Neither
3.97,Female,4.2,26,13,0,Public,1,12,No,Yes,3,Yes,Yes,64,140,Oldest Child,Dog
4,Male,4,33,18,0,Public,1,12,No,Yes,4,No,No,67,130,Youngest Child,Dog
3.5,Female,3.8,27,0,7,Public,1,12,No,No,5,Yes,Yes,64,140,Oldest Child,Both
3.8,Female,4.2,27,10,12,Public,1,12,No,Yes,3,Yes,No,65,130,Middle Child,Dog
3.6,Male,3.7,25,4,20,Public,1,12,No,Yes,3,No,Yes,62,110,Youngest Child,Cat
4,Female,3.97,24,14,24,Public,1,12,No,No,5,No,No,68,190,Oldest Child,Dog
3.45,Female,3.76,28,0,0,Public,2,12,No,Yes,10,Yes,No,65,127,Oldest Child,Dog
3.24,Male,3.84,30,3,0,Public,2,12,No,No,5,Yes,No,68,154,Oldest Child,Dog
3.46,Male,3.8,27,8,7,Public,2,12,No,Yes,4,No,No,75,198,Youngest Child,Dog
3.7,Female,3.85,21,0,25,Public,2,12,No,No,2,Yes,No,63,125,Youngest Child,Dog
3.97,Female,4.18,25,13,0,Private,1,13,No,No,2,Yes,Yes,62,110,Oldest Child,Neither
3.1,Female,3.8,29,3,2.5,Public,1,13,No,Yes,14,Yes,Yes,64,133,Youngest Child,Neither
3.27,Female,3.9,33,6,8,Public,1,13,No,No,8,No,No,62,105,Youngest Child,Cat
2.57,Female,3.58,31,24,10,Public,1,13,No,Yes,5,Yes,No,65,119,Youngest Child,Dog
4,Male,3.9,29,3,0,Public,2,13,No,Yes,3,No,No,68,130,Youngest Child,Both
2.74,Female,3.8,21,0,0,Public,1,14,No,Yes,15,Yes,Yes,67,135,Middle Child,Neither
3.65,Female,3.98,21,6,0,Public,1,14,No,Yes,7,Yes,No,66,140,Oldest Child,Cat
